FIPS,State,Area_Name,POP_ESTIMATE_2018,total_state_pop,"Active Physicians per 100,000 Population, 2018 (AAMC)","Total Active Patient Care Physicians per 100,000 Population, 2018 (AAMC)","Active Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active Patient Care Primary Care Physicians per 100,000 Population, 2018 (AAMC)","Active General Surgeons per 100,000 Population, 2018 (AAMC)","Active Patient Care General Surgeons per 100,000 Population, 2018 (AAMC)","Percentage of Active Physicians Who Are Female, 2018 (AAMC)","Percentage of Active Physicians Who Are International Medical Graduates (IMGs), 2018 (AAMC)","Percentage of Active Physicians Who Are Age 60 or Older, 2018 (AAMC)","MD and DO Student Enrollment per 100,000 Population, AY 2018-2019 (AAMC)","Student Enrollment at Public MD and DO Schools per 100,000 Population, AY 2018-2019 (AAMC)","Percentage Change in Student Enrollment at MD and DO Schools, 2008-2018 (AAMC)","Percentage of MD Students Matriculating In-State, AY 2018-2019 (AAMC)","Total Residents/Fellows in ACGME Programs per 100,000 Population as of December 31, 2018 (AAMC)","Total Residents/Fellows in Primary Care ACGME Programs per 100,000 Population as of Dec. 31, 2018 (AAMC)","Percentage of Residents in ACGME Programs Who Are IMGs as of December 31, 2018 (AAMC)","Ratio of Residents and Fellows (GME) to Medical Students (UME), AY 2017-2018 (AAMC)","Percent Change in Residents and Fellows in ACGME-Accredited Programs, 2008-2018 (AAMC)","Percentage of Physicians Retained in State from Undergraduate Medical Education (UME), 2018 (AAMC)",All Specialties (AAMC),Allergy & Immunology (AAMC),Anatomic/Clinical Pathology (AAMC),Anesthesiology (AAMC),Cardiovascular Disease (AAMC),Child & Adolescent Psychiatry** (AAMC),Critical Care Medicine (AAMC),Dermatology (AAMC),Emergency Medicine (AAMC),"Endocrinology, Diabetes & Metabolism (AAMC)",Family Medicine/General Practice (AAMC),Gastroenterology (AAMC),General Surgery (AAMC),Geriatric Medicine*** (AAMC),Hematology & Oncology (AAMC),Infectious Disease (AAMC),Internal Medicine (AAMC),Internal Medicine/Pediatrics (AAMC),Interventional Cardiology (AAMC),Neonatal-Perinatal Medicine (AAMC),Nephrology (AAMC),Neurological Surgery (AAMC),Neurology (AAMC),Neuroradiology (AAMC),Obstetrics & Gynecology (AAMC),Ophthalmology (AAMC),Orthopedic Surgery (AAMC),Otolaryngology (AAMC),Pain Medicine & Pain Management (AAMC),Pediatrics** (AAMC),Physical Medicine & Rehabilitation (AAMC),Plastic Surgery (AAMC),Preventive Medicine (AAMC),Psychiatry (AAMC),Pulmonary Disease (AAMC),Radiation Oncology (AAMC),Radiology & Diagnostic Radiology (AAMC),Rheumatology (AAMC),Sports Medicine (AAMC),Thoracic Surgery (AAMC),Urology (AAMC),Vascular & Interventional Radiology (AAMC),Vascular Surgery (AAMC),State/Local Government hospital beds per 1000 people (2019),Non-profit hospital beds per 1000 people (2019),For-profit hospital beds per 1000 people (2019),Total hospital beds per 1000 people (2019),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Pediatrics Primary Care (2019),Obstetrics & Gynecology Primary Care (2019),Geriatrics Primary Care (2019),Total Primary Care Physicians (2019),Psychiatry specialists (2019),Surgery specialists (2019),Anesthesiology specialists (2019),Emergency Medicine specialists (2019),Radiology specialists (2019),Cardiology specialists (2019),Oncology (Cancer) specialists (2019),"Endocrinology, Diabetes, and Metabolism specialists (2019)",All Other Specialties specialists (2019),Total Specialist Physicians (2019),ICU Beds,pop_fraction
13000,GA,Georgia,10519475,21038950,228.7,202.9,79.1,71.9,7.0,6.1,35.60%,22.50%,30.80%,28.6,9.2,39.20%,68.90%,25.5,10.5,25.70%,0.9,30.70%,43.90%,24054.0,113.0,302.0,978.0,612.0,197.0,318.0,271.0,1139.0,164.0,2942.0,403.0,734.0,124.0,354.0,296.0,3328.0,97.0,97.0,149.0,351.0,150.0,352.0,89.0,1365.0,472.0,553.0,305.0,172.0,1820.0,210.0,206.0,363.0,896.0,117.0,137.0,748.0,139.0,56.0,100.0,274.0,97.0,137.0,0.3,1.8,0.3,2.4,4815.0,3327.0,145.0,4978.0,3411.0,2446.0,1662.0,27.0,12524.0,1219.0,1465.0,1199.0,1385.0,1201.0,828.0,467.0,166.0,4858.0,12788.0,,0.5
15000,HI,Hawaii,1420491,2840982,314.1,273.7,118.5,104.7,9.4,8.4,35.30%,13.90%,37.30%,20.4,20.4,15.10%,65.90%,30.1,14.8,20.10%,1.5,3.40%,51.80%,4462.0,16.0,57.0,178.0,70.0,71.0,42.0,61.0,275.0,21.0,536.0,63.0,133.0,80.0,45.0,27.0,688.0,35.0,,29.0,35.0,19.0,46.0,19.0,236.0,116.0,95.0,41.0,18.0,340.0,48.0,27.0,72.0,229.0,20.0,18.0,125.0,25.0,14.0,17.0,47.0,12.0,13.0,0.3,1.7,,1.9,412.0,157.0,22.0,755.0,490.0,320.0,289.0,2.0,1856.0,283.0,166.0,178.0,211.0,160.0,73.0,43.0,19.0,671.0,1804.0,,0.5
16000,ID,Idaho,1754208,3508416,192.6,181.6,73.9,68.9,5.8,5.5,26.30%,5.50%,29.40%,9.2,,,,8.0,8.0,11.30%,0.7,182.00%,,3379.0,15.0,26.0,111.0,67.0,23.0,30.0,43.0,231.0,13.0,798.0,45.0,101.0,,31.0,13.0,316.0,10.0,11.0,19.0,30.0,29.0,35.0,18.0,163.0,64.0,128.0,42.0,19.0,164.0,44.0,23.0,20.0,81.0,22.0,16.0,128.0,17.0,22.0,10.0,43.0,12.0,11.0,0.4,1.1,0.4,1.9,688.0,618.0,45.0,389.0,922.0,154.0,148.0,4.0,1617.0,109.0,149.0,112.0,171.0,207.0,48.0,31.0,14.0,554.0,1395.0,,0.5
17000,IL,Illinois,12741080,25482160,284.4,240.5,99.6,87.2,7.0,5.8,38.70%,30.70%,30.40%,44.7,13.4,2.50%,62.60%,49.1,19.8,25.90%,1.2,7.10%,30.90%,36240.0,218.0,585.0,1569.0,898.0,298.0,476.0,440.0,1787.0,325.0,4545.0,589.0,888.0,227.0,639.0,386.0,5261.0,282.0,163.0,286.0,448.0,206.0,532.0,184.0,1754.0,751.0,634.0,349.0,238.0,2352.0,402.0,233.0,197.0,1382.0,189.0,197.0,1019.0,237.0,117.0,150.0,366.0,193.0,123.0,0.1,2.2,0.2,2.5,4963.0,2492.0,187.0,9651.0,6054.0,3830.0,2424.0,34.0,21993.0,2027.0,2053.0,2088.0,2646.0,1978.0,1425.0,842.0,385.0,7940.0,21384.0,,0.5
18000,IN,Indiana,6691878,13383756,230.8,212.0,80.3,74.4,6.5,6.1,31.80%,21.70%,31.10%,32.1,22.3,78.00%,76.30%,22.3,9.7,15.00%,0.7,12.20%,51.10%,15448.0,65.0,215.0,1063.0,398.0,93.0,199.0,155.0,763.0,134.0,2686.0,245.0,432.0,73.0,262.0,130.0,1605.0,161.0,81.0,120.0,215.0,89.0,232.0,66.0,736.0,270.0,376.0,170.0,110.0,838.0,150.0,94.0,78.0,438.0,91.0,103.0,465.0,97.0,69.0,89.0,184.0,77.0,55.0,0.4,1.9,0.4,2.7,3453.0,845.0,132.0,2631.0,3323.0,1301.0,831.0,24.0,8110.0,659.0,828.0,1187.0,915.0,874.0,550.0,336.0,136.0,3221.0,8706.0,,0.5
19000,IA,Iowa,3156145,6312290,218.2,193.1,84.8,77.9,6.9,6.5,32.90%,19.50%,29.60%,49.4,21.3,5.10%,70.20%,32.2,12.7,19.10%,0.6,21.80%,21.90%,6886.0,28.0,98.0,320.0,160.0,49.0,101.0,77.0,251.0,39.0,1647.0,86.0,217.0,33.0,107.0,52.0,622.0,18.0,34.0,45.0,63.0,37.0,96.0,28.0,280.0,161.0,170.0,88.0,35.0,355.0,45.0,31.0,51.0,219.0,35.0,43.0,198.0,41.0,13.0,33.0,67.0,19.0,28.0,0.9,2.0,0.1,3.0,1922.0,853.0,118.0,1278.0,2161.0,639.0,331.0,15.0,4424.0,340.0,528.0,465.0,349.0,400.0,271.0,144.0,42.0,1548.0,4087.0,,0.5
20000,KS,Kansas,2911505,5823010,227.6,206.5,88.0,80.5,6.8,6.3,33.30%,17.10%,30.80%,30.0,30.0,21.70%,76.70%,28.6,10.0,19.30%,1.0,14.00%,37.70%,6627.0,36.0,90.0,310.0,155.0,60.0,81.0,70.0,256.0,47.0,1434.0,81.0,197.0,29.0,100.0,43.0,659.0,66.0,33.0,31.0,70.0,40.0,93.0,17.0,294.0,131.0,168.0,81.0,37.0,371.0,66.0,63.0,27.0,241.0,29.0,39.0,204.0,41.0,24.0,36.0,82.0,29.0,17.0,1.1,1.4,0.8,3.3,1642.0,832.0,139.0,1205.0,1789.0,695.0,418.0,6.0,4113.0,455.0,465.0,407.0,294.0,338.0,222.0,129.0,43.0,1460.0,3813.0,,0.5
21000,KY,Kentucky,4468402,8936804,230.9,214.6,77.3,72.9,8.3,7.6,31.40%,20.80%,31.60%,40.3,28.3,32.10%,88.30%,31.4,10.8,18.40%,0.7,25.40%,44.90%,10319.0,68.0,143.0,483.0,251.0,97.0,149.0,121.0,520.0,58.0,1468.0,158.0,369.0,34.0,170.0,78.0,1102.0,160.0,63.0,82.0,138.0,72.0,144.0,30.0,496.0,196.0,252.0,112.0,84.0,687.0,78.0,84.0,62.0,347.0,63.0,65.0,341.0,60.0,26.0,72.0,132.0,25.0,58.0,0.4,2.4,0.5,3.2,2934.0,986.0,105.0,1975.0,1900.0,930.0,662.0,14.0,5481.0,593.0,787.0,623.0,696.0,560.0,362.0,200.0,69.0,2566.0,6456.0,,0.5
22000,LA,Louisiana,4659978,9319956,260.3,231.8,84.1,75.8,9.1,7.8,31.40%,19.80%,32.00%,45.6,28.7,12.80%,87.30%,47.1,17.0,28.20%,1.0,28.20%,40.00%,12132.0,69.0,165.0,501.0,316.0,95.0,154.0,195.0,637.0,95.0,1503.0,208.0,424.0,35.0,180.0,122.0,1359.0,156.0,93.0,74.0,181.0,101.0,167.0,29.0,661.0,317.0,307.0,223.0,72.0,860.0,122.0,88.0,59.0,423.0,84.0,61.0,386.0,87.0,19.0,63.0,186.0,40.0,57.0,0.8,1.7,0.8,3.3,2364.0,767.0,158.0,2507.0,1792.0,1178.0,842.0,9.0,6328.0,641.0,811.0,603.0,784.0,604.0,459.0,244.0,97.0,3250.0,7493.0,,0.5
23000,ME,Maine,1338404,2676808,330.2,305.7,128.9,119.7,12.1,11.7,37.30%,13.80%,36.00%,53.0,,40.60%,,24.7,12.2,12.10%,0.5,9.30%,18.20%,4420.0,16.0,34.0,178.0,105.0,60.0,58.0,36.0,290.0,21.0,901.0,56.0,162.0,39.0,63.0,34.0,525.0,21.0,,18.0,40.0,21.0,52.0,,166.0,75.0,104.0,34.0,14.0,239.0,44.0,19.0,46.0,212.0,22.0,17.0,91.0,23.0,29.0,19.0,48.0,17.0,20.0,0.1,2.4,0.1,2.5,1100.0,556.0,34.0,805.0,1118.0,334.0,203.0,17.0,2477.0,313.0,276.0,214.0,317.0,193.0,127.0,70.0,19.0,715.0,2244.0,,0.5
24000,MD,Maryland,6042718,12085436,386.0,306.1,116.2,97.6,9.6,7.5,41.00%,26.80%,34.10%,32.6,22.8,2.90%,27.10%,48.3,14.9,23.20%,1.5,2.60%,21.90%,23323.0,207.0,379.0,1009.0,555.0,326.0,368.0,308.0,915.0,285.0,1614.0,376.0,578.0,169.0,521.0,481.0,3533.0,114.0,56.0,134.0,275.0,126.0,446.0,92.0,1072.0,569.0,416.0,241.0,138.0,1569.0,248.0,181.0,409.0,1128.0,123.0,129.0,623.0,221.0,50.0,97.0,239.0,71.0,109.0,,1.9,0.0,1.9,3343.0,2301.0,50.0,5688.0,1715.0,2204.0,1308.0,29.0,10944.0,1693.0,1268.0,1204.0,985.0,1113.0,829.0,671.0,255.0,5714.0,13732.0,,0.5
25000,MA,Massachusetts,6902149,13804298,449.5,353.7,134.3,114.6,9.6,7.3,42.40%,24.00%,30.80%,46.0,9.8,12.60%,35.10%,83.0,23.4,20.70%,1.8,8.50%,29.50%,31025.0,195.0,563.0,1210.0,867.0,456.0,532.0,451.0,1247.0,431.0,1731.0,531.0,660.0,235.0,783.0,525.0,4997.0,210.0,127.0,178.0,408.0,143.0,670.0,161.0,1042.0,596.0,475.0,260.0,158.0,2044.0,207.0,174.0,204.0,1850.0,184.0,181.0,906.0,280.0,71.0,143.0,279.0,137.0,133.0,0.0,1.8,0.4,2.3,6264.0,2166.0,75.0,9193.0,1971.0,3163.0,1430.0,27.0,15784.0,2878.0,1903.0,1783.0,1735.0,2010.0,1637.0,1176.0,497.0,7103.0,20722.0,,0.5
26000,MI,Michigan,9995915,19991830,287.0,249.7,97.8,87.6,7.9,6.7,35.00%,29.20%,31.60%,52.9,49.9,56.10%,71.50%,69.0,23.6,26.80%,1.4,49.50%,43.40%,28692.0,152.0,359.0,1012.0,624.0,238.0,396.0,331.0,1621.0,208.0,4093.0,379.0,788.0,172.0,445.0,267.0,3632.0,308.0,174.0,119.0,317.0,172.0,404.0,137.0,1291.0,613.0,516.0,241.0,169.0,1560.0,373.0,178.0,176.0,928.0,120.0,168.0,837.0,167.0,89.0,131.0,281.0,105.0,136.0,0.1,2.2,0.3,2.5,4420.0,3783.0,144.0,7415.0,6023.0,2640.0,2384.0,54.0,18516.0,1567.0,2099.0,1585.0,3339.0,1929.0,1095.0,685.0,239.0,7765.0,20303.0,,0.5
