,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
56,11001,DC,district of columbia,737516,737509,737509,737500,737500,737500,737500,737495,NA,NA,NA,737542,737542
57,12000_0,FL,"Florida Super-county, Cluster 1",737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
58,12000_4,FL,"Florida Super-county, Cluster 5",737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
59,12011,FL,broward county,737511,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
60,12015,FL,charlotte county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
61,12021,FL,collier county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
62,12031,FL,duval county,737509,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
63,12057,FL,hillsborough county,737511,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
64,12071,FL,lee county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
65,12081,FL,manatee county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
66,12086,FL,miami-dade county,737509,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
67,12095,FL,orange county,737510,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
68,12099,FL,palm beach county,737514,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
69,12103,FL,pinellas county,737510,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
70,12105,FL,polk county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
71,12115,FL,sarasota county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
72,12127,FL,volusia county,737518,737501,737501,737500,737504,737504,737500,737495,NA,NA,NA,NA,NA
73,13000_0,GA,"Georgia Super-county, Cluster 1",737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
74,13000_1,GA,"Georgia Super-county, Cluster 2",737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
75,13063,GA,clayton county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
