FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,25/03/2020 17:08,2020-03-26 20:24:50,2020-03-27 21:06:19,2020-03-28 20:48:56
1131.0,Wilcox,Alabama,US,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1
1133.0,Winston,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
2013.0,Aleutians East,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2016.0,Aleutians West,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
2020.0,Anchorage,Alaska,US,4.0,5.0,13.0,17.0,17.0,28.0,30.0,12
2050.0,Bethel,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2060.0,Bristol Bay,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2068.0,Denali,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2070.0,Dillingham,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2090.0,Fairbanks North Star,Alaska,US,6.0,7.0,7.0,7.0,9.0,11.0,10.0,1
2100.0,Haines,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2105.0,Hoonah-Angoon,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2110.0,Juneau,Alaska,US,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0
2122.0,Kenai Peninsula,Alaska,US,0.0,0.0,3.0,3.0,4.0,4.0,4.0,155
2130.0,Ketchikan Gateway,Alaska,US,3.0,6.0,6.0,6.0,8.0,11.0,11.0,0
2150.0,Kodiak Island,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2158.0,Kusilvak,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2164.0,Lake and Peninsula,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2170.0,Matanuska-Susitna,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
2180.0,Nome,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2185.0,North Slope,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2188.0,Northwest Arctic,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2195.0,Petersburg,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2198.0,Prince of Wales-Hyder,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
2220.0,Sitka,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2230.0,Skagway,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2240.0,Southeast Fairbanks,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2261.0,Valdez-Cordova,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2275.0,Wrangell,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2282.0,Yakutat,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2290.0,Yukon-Koyukuk,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
4001.0,Apache,Arizona,US,3.0,3.0,3.0,4.0,4.0,9.0,11.0,2
4003.0,Cochise,Arizona,US,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0
4005.0,Coconino,Arizona,US,11.0,11.0,14.0,18.0,18.0,28.0,41.0,1
4007.0,Gila,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4009.0,Graham,Arizona,US,1.0,1.0,2.0,2.0,2.0,2.0,4.0,0
4011.0,Greenlee,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
4012.0,La Paz,Arizona,US,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0
4013.0,Maricopa,Arizona,US,49.0,49.0,81.0,169.0,199.0,299.0,399.0,9
4015.0,Mohave,Arizona,US,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0
4017.0,Navajo,Arizona,US,3.0,3.0,13.0,32.0,32.0,43.0,49.0,0
4019.0,Pima,Arizona,US,12.0,12.0,17.0,42.0,42.0,75.0,102.0,1
4021.0,Pinal,Arizona,US,14.0,14.0,16.0,22.0,22.0,35.0,36.0,0
4023.0,Santa Cruz,Arizona,US,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1
4025.0,Yavapai,Arizona,US,1.0,1.0,3.0,3.0,3.0,5.0,9.0,1
4027.0,Yuma,Arizona,US,1.0,1.0,1.0,2.0,2.0,4.0,4.0,6
5001.0,Arkansas,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5003.0,Ashley,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
5005.0,Baxter,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5007.0,Benton,Arkansas,US,0.0,0.0,1.0,1.0,1.0,18.0,23.0,0
5009.0,Boone,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
5011.0,Bradley,Arkansas,US,0.0,0.0,4.0,4.0,4.0,4.0,4.0,7
5013.0,Calhoun,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5015.0,Carroll,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5017.0,Chicot,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
5019.0,Clark,Arkansas,US,0.0,0.0,2.0,7.0,6.0,15.0,15.0,2
5021.0,Clay,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5023.0,Cleburne,Arkansas,US,0.0,25.0,25.0,28.0,34.0,47.0,46.0,141
5025.0,Cleveland,Arkansas,US,0.0,0.0,3.0,3.0,3.0,3.0,3.0,112
5027.0,Columbia,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
5029.0,Conway,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
5031.0,Craighead,Arkansas,US,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0
5033.0,Crawford,Arkansas,US,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
5035.0,Crittenden,Arkansas,US,0.0,0.0,1.0,1.0,1.0,7.0,7.0,3
5037.0,Cross,Arkansas,US,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
5039.0,Dallas,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5041.0,Desha,Arkansas,US,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
5043.0,Drew,Arkansas,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
5045.0,Faulkner,Arkansas,US,0.0,7.0,8.0,13.0,17.0,24.0,24.0,2
5047.0,Franklin,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
5049.0,Fulton,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5051.0,Garland,Arkansas,US,0.0,9.0,9.0,9.0,11.0,18.0,19.0,0
5053.0,Grant,Arkansas,US,0.0,1.0,3.0,3.0,3.0,3.0,3.0,0
5055.0,Greene,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7
5057.0,Hempstead,Arkansas,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
5059.0,Hot Spring,Arkansas,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
5061.0,Howard,Arkansas,US,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7
5063.0,Independence,Arkansas,US,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0
5065.0,Izard,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5067.0,Jackson,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
5069.0,Jefferson,Arkansas,US,3.0,20.0,20.0,21.0,22.0,23.0,23.0,4
5071.0,Johnson,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5073.0,Lafayette,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5075.0,Lawrence,Arkansas,US,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
5077.0,Lee,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5079.0,Lincoln,Arkansas,US,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5
5081.0,Little River,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5083.0,Logan,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5085.0,Lonoke,Arkansas,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
5087.0,Madison,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
5089.0,Marion,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5091.0,Miller,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
5093.0,Mississippi,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
5095.0,Monroe,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5097.0,Montgomery,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5099.0,Nevada,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
5101.0,Newton,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5103.0,Ouachita,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5105.0,Perry,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5107.0,Phillips,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5109.0,Pike,Arkansas,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
5111.0,Poinsett,Arkansas,US,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1
5113.0,Polk,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3
5115.0,Pope,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
5117.0,Prairie,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5119.0,Pulaski,Arkansas,US,0.0,52.0,54.0,63.0,64.0,83.0,83.0,0
5121.0,Randolph,Arkansas,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28
5123.0,St. Francis,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
5125.0,Saline,Arkansas,US,0.0,1.0,4.0,4.0,4.0,4.0,4.0,2
5127.0,Scott,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5129.0,Searcy,Arkansas,US,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0
5131.0,Sebastian,Arkansas,US,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0
5133.0,Sevier,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15
5135.0,Sharp,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5137.0,Stone,Arkansas,US,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
5139.0,Union,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,28
5141.0,Van Buren,Arkansas,US,0.0,0.0,3.0,3.0,7.0,11.0,13.0,0
5143.0,Washington,Arkansas,US,1.0,5.0,5.0,5.0,7.0,10.0,12.0,4
5145.0,White,Arkansas,US,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1
5147.0,Woodruff,Arkansas,US,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2
5149.0,Yell,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6001.0,Alameda,California,US,48.0,71.0,106.0,122.0,135.0,135.0,220.0,8
6003.0,Alpine,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
6005.0,Amador,California,US,1.0,1.0,1.0,2.0,2.0,2.0,2.0,42
6007.0,Butte,California,US,0.0,1.0,2.0,2.0,4.0,4.0,5.0,0
6009.0,Calaveras,California,US,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1838
6011.0,Colusa,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6013.0,Contra Costa,California,US,46.0,51.0,61.0,71.0,86.0,108.0,147.0,9
6015.0,Del Norte,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
6017.0,El Dorado,California,US,0.0,0.0,2.0,2.0,3.0,3.0,9.0,119
6019.0,Fresno,California,US,6.0,6.0,6.0,13.0,18.0,19.0,27.0,82
6021.0,Glenn,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
