FIPS,State,Area_Name,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
01079,AL,Lawrence County,3,2,3,32957,-120,358,411,-53,-3,-61,-64,-3,229,10.8,12.4,-1.6,-0.1,-1.8,-1.9,4919,9710,6028,2738,21.0,41.5,25.8,11.7,6297,5272,7322,19.3,16.2,22.4,2200,1813,2587,31.4,25.9,36.9,1734,1447,2021,33.2,27.7,38.7,43909,40237,47581,13919,13336,583,4.2,$43909 ,88.0,15229,717.2,26.52,690.68,49.7,22
01081,AL,Lee County,3,2,4,163941,2300,1865,1114,751,347,1206,1553,-4,4958,11.5,6.8,4.6,2.1,7.4,9.5,9049,22855,30707,32377,9.5,24.1,32.3,34.1,30075,26732,33418,19.0,16.9,21.1,6608,5327,7889,19.3,15.6,23.0,4770,3799,5741,19.2,15.3,23.1,48937,44909,52965,74654,71951,2703,3.6,$48937 ,98.1,62391,615.85,8.31,607.54,230.8,102.7
01083,AL,Limestone County,2,2,4,96174,2098,995,842,153,34,1905,1939,6,2696,10.5,8.9,1.6,0.4,20.0,20.4,10123,19463,18341,16367,15.7,30.3,28.5,25.5,10633,8515,12751,11.4,9.1,13.7,3377,2583,4171,15.8,12.1,19.5,2529,1934,3124,15.8,12.1,19.5,64863,60715,69011,42393,40890,1503,3.5,$64863 ,130.0,34977,607.19,47.25,559.94,147.8,62.5
01085,AL,Lowndes County,2,2,3,9974,-130,119,138,-19,-2,-110,-112,1,96,11.9,13.7,-1.9,-0.2,-11.0,-11.2,1588,2722,1750,996,22.5,38.6,24.8,14.1,2474,1900,3048,25.1,19.3,30.9,886,632,1140,39.6,28.3,50.9,654,448,860,40.1,27.4,52.8,33973,30383,37563,3625,3360,265,7.3,$33973 ,68.1,5140,725.07,9.16,715.91,15.8,7.2
01087,AL,Macon County,6,6,4,18439,-372,172,243,-71,-2,-300,-302,1,1723,9.2,13.0,-3.8,-0.1,-16.1,-16.2,2215,3658,3752,2510,18.3,30.1,30.9,20.7,5031,3952,6110,30.2,23.7,36.7,1199,843,1555,39.7,27.9,51.5,852,568,1136,39.0,26.0,52.0,32495,29370,35620,7816,7389,427,5.5,$32495 ,65.1,10259,613.21,4.32,608.89,35.2,16.8
01089,AL,Madison County,2,2,4,366519,4854,4149,3207,942,531,3374,3905,7,8320,11.4,8.8,2.6,1.5,9.3,10.7,21617,50768,69750,101650,8.9,20.8,28.6,41.7,42667,37832,47502,11.9,10.5,13.3,13306,11021,15591,16.9,14.0,19.8,8794,6998,10590,15.2,12.1,18.3,63755,60984,66526,179752,173532,6220,3.5,$63755 ,127.8,146447,812.7,11.11,801.59,417.7,182.7
01091,AL,Marengo County,7,11,0,19066,-300,230,276,-46,2,-256,-254,0,254,12.0,14.4,-2.4,0.1,-13.3,-13.2,2192,5378,3869,2084,16.2,39.8,28.6,15.4,4499,3580,5418,24.0,19.1,28.9,1479,1106,1852,34.5,25.8,43.2,1025,729,1321,33.1,23.5,42.7,37733,33566,41900,7589,7209,380,5.0,$37733 ,75.6,10237,982.67,5.79,976.88,21.5,10.5
01093,AL,Marion County,7,11,3,29763,-8,287,404,-117,1,111,112,-3,750,9.6,13.6,-3.9,0.0,3.7,3.8,4343,7435,6770,2806,20.3,34.8,31.7,13.1,5844,4818,6870,20.2,16.7,23.7,1664,1254,2074,27.4,20.6,34.2,1161,828,1494,25.9,18.5,33.3,37887,34014,41760,12549,12036,513,4.1,$37887 ,76.0,14737,743.57,1.28,742.29,41.5,19.9
01095,AL,Marshall County,4,5,3,96109,500,1363,1132,231,43,230,273,-4,1046,14.2,11.8,2.4,0.4,2.4,2.8,12151,19818,19442,12233,19.1,31.1,30.5,19.2,17341,14934,19748,18.3,15.8,20.8,6532,5366,7698,27.9,22.9,32.9,4510,3620,5400,26.9,21.6,32.2,46233,42465,50001,42598,41157,1441,3.4,$46233 ,92.7,40342,623.18,57.34,565.84,164.4,71.3
01097,AL,Mobile County,2,2,0,413757,-758,5337,4500,837,568,-2152,-1584,-11,7277,12.9,10.9,2.0,1.4,-5.2,-3.8,38247,92986,82763,63703,13.8,33.5,29.8,22.9,84539,76590,92488,20.8,18.8,22.8,29853,26306,33400,31.4,27.7,35.1,20805,18154,23456,30.4,26.5,34.3,43598,41273,45923,187406,178608,8798,4.7,$43598 ,87.4,178196,1644.01,414.58,1229.44,335.9,144.9
01099,AL,Monroe County,7,11,3,21067,-235,204,283,-79,-2,-155,-157,1,230,9.6,13.4,-3.7,-0.1,-7.3,-7.4,2409,6805,3464,2078,16.3,46.1,23.5,14.1,4560,3497,5623,21.9,16.8,27.0,1416,1016,1816,31.6,22.7,40.5,1019,705,1333,30.1,20.8,39.4,39556,35396,43716,7158,6716,442,6.2,$39556 ,79.3,11333,1034.42,8.74,1025.67,22.5,11
01101,AL,Montgomery County,2,2,4,225763,-1316,3047,2190,857,242,-2416,-2174,1,9120,13.5,9.7,3.8,1.1,-10.7,-9.6,21646,38289,41976,48131,14.4,25.5,28.0,32.1,43567,38512,48622,20.1,17.8,22.4,16182,13654,18710,31.3,26.4,36.2,11756,9685,13827,31.9,26.3,37.5,49640,47820,51460,105579,101360,4219,4.0,$49640 ,99.5,101641,799.91,15.66,784.25,292.5,129.6
01103,AL,Morgan County,3,2,3,119089,278,1410,1333,77,83,126,209,-8,1998,11.9,11.2,0.6,0.7,1.1,1.8,13706,24350,26356,17849,16.7,29.6,32.0,21.7,15419,12500,18338,13.2,10.7,15.7,5355,4051,6659,20.1,15.2,25.0,3654,2710,4598,18.5,13.7,23.3,52797,49692,55902,56339,54356,1983,3.5,$52797 ,105.8,51193,599.05,19.72,579.34,206.3,88.4
01105,AL,Perry County,8,4,0,9140,-179,107,131,-24,-1,-155,-156,1,783,11.6,14.2,-2.6,-0.1,-16.8,-16.9,1275,2293,1334,913,21.9,39.4,22.9,15.7,2943,2239,3647,35.3,26.9,43.7,1010,738,1282,52.8,38.6,67.0,707,487,927,49.7,34.2,65.2,26814,24245,29383,3397,3175,222,6.5,$26814 ,53.8,4737,723.88,4.22,719.66,14.7,6.6
01107,AL,Pickens County,3,2,0,19938,-244,214,221,-7,2,-242,-240,3,1776,10.7,11.0,-0.3,0.1,-12.1,-12.0,2829,5352,4425,1959,19.4,36.7,30.4,13.5,4177,3204,5150,23.1,17.7,28.5,1183,855,1511,30.8,22.3,39.3,841,580,1102,29.9,20.6,39.2,37586,33665,41507,7805,7449,356,4.6,$37586 ,75.4,9483,890.13,8.72,881.41,22.4,10.8
01109,AL,Pike County,6,5,4,33338,-97,344,344,0,101,-198,-97,0,2241,10.3,10.3,0.0,3.0,-5.9,-2.9,3660,6405,4657,4536,19.0,33.3,24.2,23.6,7315,5934,8696,23.6,19.2,28.0,1900,1425,2375,30.6,22.9,38.3,1312,943,1681,29.5,21.2,37.8,37259,33401,41117,15230,14544,686,4.5,$37259 ,74.7,15267,673.01,0.91,672.09,48.9,22.7
01111,AL,Randolph County,6,4,0,22725,42,248,312,-64,-4,111,107,-1,400,10.9,13.7,-2.8,-0.2,4.9,4.7,3340,5719,4329,2350,21.2,36.3,27.5,14.9,4375,3509,5241,19.7,15.8,23.6,1504,1158,1850,31.4,24.2,38.6,1004,725,1283,28.7,20.7,36.7,40546,36254,44838,9538,9155,383,4.0,$40546 ,81.3,11982,584.13,3.59,580.55,39.5,20.6
01113,AL,Russell County,2,2,3,57781,753,755,654,101,-32,682,650,2,574,13.2,11.4,1.8,-0.6,11.9,11.3,6495,12583,13434,6438,16.7,32.3,34.5,16.5,12384,10327,14441,21.7,18.1,25.3,4340,3331,5349,31.6,24.2,39.0,3189,2406,3972,32.6,24.6,40.6,39104,35751,42457,23753,22798,955,4.0,$39104 ,78.4,24595,647.19,6.05,641.14,82.6,38.4
01115,AL,St. Clair County,1,1,0,88690,714,1019,960,59,32,621,653,2,1562,11.5,10.9,0.7,0.4,7.0,7.4,9255,21865,19587,9991,15.2,36.0,32.3,16.5,10432,8540,12324,12.0,9.8,14.2,2957,2123,3791,15.0,10.8,19.2,2041,1380,2702,14.0,9.5,18.5,57284,52831,61737,39683,38296,1387,3.5,$57284 ,114.8,35541,653.64,21.74,631.9,132.3,56.2
01117,AL,Shelby County,1,1,0,215707,1978,2282,1571,711,145,1136,1281,-14,2512,10.6,7.3,3.3,0.7,5.3,6.0,11258,29106,42634,60424,7.8,20.3,29.7,42.1,16916,14506,19326,8.0,6.9,9.1,4444,3374,5514,8.9,6.8,11.0,3069,2243,3895,8.2,6.0,10.4,75663,69887,81439,112891,109672,3219,2.9,$75663 ,151.7,80970,809.53,24.59,784.93,248.5,103.2
01119,AL,Sumter County,8,6,4,12691,-89,128,148,-20,39,-107,-68,-1,939,10.1,11.6,-1.6,3.1,-8.4,-5.3,1238,2969,1936,1715,15.8,37.8,24.6,21.8,4076,3223,4929,34.7,27.4,42.0,1140,867,1413,48.1,36.6,59.6,883,670,1096,53.2,40.4,66.0,27859,24843,30875,4768,4487,281,5.9,$27859 ,55.9,6786,913.32,9.43,903.89,15.2,7.5
01121,AL,Talladega County,4,3,3,79828,-194,833,1063,-230,23,17,40,-4,2942,10.4,13.3,-2.9,0.3,0.2,0.5,10671,19607,17827,8017,19.0,34.9,31.8,14.3,14825,12502,17148,19.3,16.3,22.3,4301,3374,5228,26.4,20.7,32.1,2918,2191,3645,24.1,18.1,30.1,41630,38789,44471,34978,33481,1497,4.3,$41630 ,83.5,37088,760.31,23.53,736.78,111.7,50.3
01123,AL,Tallapoosa County,6,6,0,40497,-116,409,556,-147,-10,44,34,-3,576,10.1,13.7,-3.6,-0.2,1.1,0.8,5581,9402,8355,5244,19.5,32.9,29.2,18.3,7839,6675,9003,19.7,16.8,22.6,2525,2017,3033,30.7,24.5,36.9,2024,1633,2415,33.6,27.1,40.1,42205,38276,46134,17772,17028,744,4.2,$42205 ,84.6,22111,766.25,49.73,716.52,58.1,30.9
01125,AL,Tuscaloosa County,3,2,4,208911,1202,2488,1808,680,232,295,527,-5,10557,11.9,8.7,3.3,1.1,1.4,2.5,14748,38097,36040,38669,11.6,29.9,28.3,30.3,33330,28795,37865,16.8,14.5,19.1,8956,7012,10900,20.9,16.4,25.4,6103,4586,7620,19.9,14.9,24.9,52557,49017,56097,101569,97855,3714,3.7,$52557 ,105.4,84872,1351.25,29.5,1321.75,147.3,64.2
01127,AL,Walker County,1,1,0,63711,-224,745,998,-253,4,31,35,-6,851,11.7,15.6,-4.0,0.1,0.5,0.5,8606,16685,14479,5204,19.1,37.1,32.2,11.6,11231,9229,13233,17.9,14.7,21.1,3415,2531,4299,24.7,18.3,31.1,2413,1726,3100,24.0,17.2,30.8,45434,42175,48693,25132,24064,1068,4.2,$45434 ,91.1,30816,805.19,14,791.19,84.7,38.9
01129,AL,Washington County,8,7,3,16378,-154,160,186,-26,12,-141,-129,1,147,9.7,11.3,-1.6,0.7,-8.6,-7.8,2243,4954,2996,1276,19.6,43.2,26.1,11.1,2846,2191,3501,17.6,13.6,21.6,916,657,1175,25.8,18.5,33.1,659,456,862,24.5,16.9,32.1,44424,39552,49296,6667,6278,389,5.8,$44424 ,89.1,8407,1088.57,8.36,1080.21,16.3,7.8
01131,AL,Wilcox County,9,10,3,10627,-85,135,139,-4,0,-81,-81,0,108,12.7,13.0,-0.4,0.0,-7.6,-7.6,1662,2903,1738,901,23.1,40.3,24.1,12.5,3504,2719,4289,33.4,25.9,40.9,1262,924,1600,50.6,37.0,64.2,924,656,1192,50.5,35.8,65.2,25385,22961,27809,2734,2472,262,9.6,$25385 ,50.9,5649,907.41,18.91,888.5,13.1,6.4
01133,AL,Winston County,6,4,3,23660,-85,242,340,-98,2,13,15,-2,301,10.2,14.3,-4.1,0.1,0.5,0.6,3755,6420,4683,2326,21.9,37.4,27.3,13.5,4338,3399,5277,18.6,14.6,22.6,1314,991,1637,27.6,20.8,34.4,915,659,1171,26.2,18.9,33.5,41156,36842,45470,9781,9371,410,4.2,$41156 ,82.5,13469,631.87,18.89,612.98,39.9,22
