FIPS,State,Area_Name,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
01019,AL,Cherokee County,6,6,0,26032,217,219,340,-121,-1,338,337,1,290,8.4,13.1,-4.7,0.0,13.0,13.0,3692,7157,5417,2407,19.8,38.3,29.0,12.9,4180,3215,5145,16.3,12.5,20.1,1215,856,1574,24.7,17.4,32.0,830,554,1106,22.2,14.8,29.6,42132,37915,46349,11622,11207,415,3.6,$42132 ,84.5,16267,599.98,46.28,553.7,46.9,29.4
01021,AL,Chilton County,1,1,0,44153,36,526,506,20,25,-6,19,-3,393,11.9,11.5,0.5,0.6,-0.1,0.4,5302,13125,7147,4219,17.8,44.1,24.0,14.2,7542,6164,8920,17.3,14.1,20.5,2401,1770,3032,23.3,17.2,29.4,1730,1250,2210,22.7,16.4,29.0,47547,42940,52154,19476,18773,703,3.6,$47547 ,95.3,19278,700.8,7.95,692.85,63,27.8
01023,AL,Choctaw County,9,10,3,12841,-94,134,176,-42,-2,-50,-52,0,129,10.4,13.7,-3.3,-0.2,-3.9,-4.0,1754,3606,2851,1225,18.6,38.2,30.2,13.0,2806,2161,3451,22.1,17.0,27.2,813,608,1018,32.1,24.0,40.2,546,382,710,29.2,20.4,38.0,39907,36327,43487,4694,4434,260,5.5,$39907 ,80.0,7269,920.86,7.36,913.5,15.2,8
01025,AL,Clarke County,7,11,3,23920,-177,267,307,-40,-2,-133,-135,-2,280,11.1,12.8,-1.7,-0.1,-5.5,-5.6,3175,7372,4205,2118,18.8,43.7,24.9,12.6,5381,4430,6332,22.8,18.8,26.8,1625,1203,2047,31.7,23.5,39.9,1185,853,1517,31.4,22.6,40.2,40741,36839,44643,7627,7057,570,7.5,$40741 ,81.7,12638,1252.57,14.11,1238.46,20.9,10.2
01027,AL,Clay County,9,10,3,13275,-92,128,177,-49,-1,-42,-43,0,255,9.6,13.3,-3.7,-0.1,-3.2,-3.2,2275,3366,2700,944,24.5,36.3,29.1,10.2,2285,1811,2759,17.6,13.9,21.3,684,503,865,25.8,19.0,32.6,493,347,639,25.0,17.6,32.4,39201,35145,43257,5963,5730,233,3.9,$39201 ,78.6,6776,606,2.04,603.96,23.1,11.2
01029,AL,Cleburne County,8,4,0,14987,81,167,198,-31,-8,122,114,-2,178,11.2,13.2,-2.1,-0.5,8.2,7.6,2364,4135,2518,1428,22.6,39.6,24.1,13.7,2356,1859,2853,16.0,12.6,19.4,764,574,954,22.9,17.2,28.6,563,419,707,22.9,17.1,28.7,46495,42459,50531,5743,5499,244,4.2,$46495 ,93.2,6718,561.01,0.91,560.1,26.7,12
01031,AL,Coffee County,4,5,0,51909,132,652,541,111,18,5,23,-2,518,12.6,10.4,2.1,0.3,0.1,0.4,4833,9723,12181,8175,13.8,27.9,34.9,23.4,7053,5821,8285,13.8,11.4,16.2,2640,2037,3243,21.9,16.9,26.9,1794,1305,2283,20.1,14.6,25.6,55122,51227,59017,20817,19995,822,3.9,$55122 ,110.5,22330,680.49,1.52,678.97,73.6,32.9
01033,AL,Colbert County,3,2,0,54762,253,610,685,-75,4,324,328,0,474,11.2,12.5,-1.4,0.1,5.9,6.0,6016,13927,11459,7236,15.6,36.0,29.7,18.7,7459,6059,8859,13.8,11.2,16.4,2345,1714,2976,21.0,15.3,26.7,1567,1089,2045,19.3,13.4,25.2,49055,46196,51914,23258,22184,1074,4.6,$49055 ,98.3,25758,622.13,29.51,592.62,91.8,43.5
01035,AL,Conecuh County,7,11,0,12277,-158,126,183,-57,1,-102,-101,0,45,10.2,14.8,-4.6,0.1,-8.3,-8.2,1703,4315,1881,949,19.2,48.8,21.3,10.7,2979,2247,3711,24.4,18.4,30.4,1005,730,1280,40.1,29.1,51.1,728,508,948,38.9,27.2,50.6,32613,29644,35582,4494,4259,235,5.2,$32613 ,65.4,7093,852.72,2.57,850.16,15.6,8.3
01037,AL,Coosa County,8,3,3,10715,-42,90,122,-32,14,-23,-9,-1,248,8.4,11.4,-3.0,1.3,-2.1,-0.8,1675,3178,2424,953,20.4,38.6,29.5,11.6,1973,1505,2441,18.9,14.4,23.4,526,387,665,30.1,22.1,38.1,385,276,494,30.5,21.9,39.1,42423,38174,46672,4376,4193,183,4.2,$42423 ,85.0,6478,666.35,15.42,650.93,17.7,10
