GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Clayton County, Iowa";17556;8885;8671;3705;1908;1797;9678;5006;4672;4173;1971;2202;655;223;432
"Clinton County, Iowa";46518;22844;23674;10602;5420;5182;26756;13280;13476;9160;4144;5016;1296;430;866
"Crawford County, Iowa";17158;8767;8391;4323;2194;2129;9829;5177;4652;3006;1396;1610;477;157;320
"Dallas County, Iowa";90180;44496;45684;25041;12726;12315;54326;27097;27229;10813;4673;6140;1467;468;999
"Davis County, Iowa";9017;4462;4555;2647;1300;1347;4757;2427;2330;1613;735;878;243;84;159
"Decatur County, Iowa";7890;3940;3950;1727;874;853;4579;2343;2236;1584;723;861;266;93;173
"Delaware County, Iowa";17069;8611;8458;4031;2063;1968;9746;4977;4769;3292;1571;1721;479;174;305
"Des Moines County, Iowa";39138;19041;20097;8806;4425;4381;22182;10996;11186;8150;3620;4530;1206;411;795
"Dickinson County, Iowa";17153;8521;8632;3288;1714;1574;9380;4762;4618;4485;2045;2440;642;234;408
"Dubuque County, Iowa";96854;47863;48991;22037;11250;10787;57408;29011;28397;17409;7602;9807;2617;810;1807
"Emmet County, Iowa";9253;4646;4607;1911;952;959;5363;2810;2553;1979;884;1095;334;103;231
"Fayette County, Iowa";19660;9910;9750;4092;2116;1976;11341;5906;5435;4227;1888;2339;665;222;443
"Floyd County, Iowa";15761;7793;7968;3640;1878;1762;8684;4342;4342;3437;1573;1864;485;180;305
"Franklin County, Iowa";10124;5099;5025;2349;1232;1117;5650;2877;2773;2125;990;1135;355;119;236
"Fremont County, Iowa";6993;3488;3505;1567;814;753;3842;1947;1895;1584;727;857;246;81;165
"Greene County, Iowa";8981;4430;4551;2078;1074;1004;4920;2474;2446;1983;882;1101;329;100;229
"Grundy County, Iowa";12304;6072;6232;2818;1397;1421;6917;3530;3387;2569;1145;1424;397;122;275
"Guthrie County, Iowa";10720;5350;5370;2401;1230;1171;5912;3013;2899;2407;1107;1300;368;113;255
"Hamilton County, Iowa";14952;7451;7501;3389;1734;1655;8498;4363;4135;3065;1354;1711;542;176;366
"Hancock County, Iowa";10712;5365;5347;2325;1191;1134;5980;3051;2929;2407;1123;1284;401;117;284
"Hardin County, Iowa";16868;8467;8401;3367;1755;1612;9785;5068;4717;3716;1644;2072;668;235;433
"Harrison County, Iowa";14134;7065;7069;3278;1667;1611;8071;4122;3949;2785;1276;1509;435;143;292
"Henry County, Iowa";20067;10349;9718;4334;2215;2119;11927;6421;5506;3806;1713;2093;528;171;357
"Howard County, Iowa";9187;4582;4605;2278;1156;1122;4991;2543;2448;1918;883;1035;333;122;211
"Humboldt County, Iowa";9547;4703;4844;2235;1123;1112;5257;2656;2601;2055;924;1131;354;121;233
"Ida County, Iowa";6841;3415;3426;1656;873;783;3666;1848;1818;1519;694;825;266;84;182
"Iowa County, Iowa";16141;8046;8095;3758;1936;1822;9322;4732;4590;3061;1378;1683;528;171;357
"Jackson County, Iowa";19432;9698;9734;4331;2213;2118;11040;5628;5412;4061;1857;2204;632;232;400
"Jasper County, Iowa";37147;18996;18151;8346;4274;4072;21692;11586;10106;7109;3136;3973;1106;374;732
"Jefferson County, Iowa";18381;10127;8254;2858;1457;1401;11404;6717;4687;4119;1953;2166;478;173;305
"Johnson County, Iowa";151260;75011;76249;30183;15238;14945;103341;51795;51546;17736;7978;9758;2212;761;1451
"Jones County, Iowa";20744;10715;10029;4439;2292;2147;12032;6420;5612;4273;2003;2270;661;214;447
"Keokuk County, Iowa";10225;5201;5024;2346;1269;1077;5687;2920;2767;2192;1012;1180;384;133;251
"Kossuth County, Iowa";14908;7507;7401;3268;1710;1558;8102;4178;3924;3538;1619;1919;629;240;389
"Lee County, Iowa";34055;17161;16894;7297;3762;3535;19841;10311;9530;6917;3088;3829;902;289;613
"Linn County, Iowa";225909;111266;114643;52510;26888;25622;137697;68671;69026;35702;15707;19995;4692;1616;3076
"Louisa County, Iowa";11169;5700;5469;2526;1331;1195;6578;3419;3159;2065;950;1115;285;93;192
"Lucas County, Iowa";8645;4406;4239;2008;1061;947;4755;2453;2302;1882;892;990;273;96;177
"Lyon County, Iowa";11811;5994;5817;3347;1784;1563;6324;3249;3075;2140;961;1179;409;141;268
"Madison County, Iowa";16249;8114;8135;4047;2127;1920;9442;4695;4747;2760;1292;1468;363;114;249
"Mahaska County, Iowa";22000;11143;10857;5266;2759;2507;12707;6561;6146;4027;1823;2204;640;205;435
"Marion County, Iowa";33407;16705;16702;7892;4077;3815;19558;9934;9624;5957;2694;3263;797;273;524
"Marshall County, Iowa";39981;20231;19750;10109;5230;4879;22600;11667;10933;7272;3334;3938;1142;415;727
"Mills County, Iowa";15063;7580;7483;3553;1818;1735;8736;4433;4303;2774;1329;1445;313;114;199
"Mitchell County, Iowa";10569;5268;5301;2496;1281;1215;5837;2989;2848;2236;998;1238;436;151;285
"Monona County, Iowa";8679;4235;4444;1916;956;960;4627;2342;2285;2136;937;1199;406;111;295
"Monroe County, Iowa";7790;3858;3932;1848;920;928;4387;2222;2165;1555;716;839;202;71;131
"Montgomery County, Iowa";10003;4876;5127;2274;1144;1130;5585;2787;2798;2144;945;1199;377;114;263
"Muscatine County, Iowa";42929;21452;21477;10691;5491;5200;25093;12723;12370;7145;3238;3907;914;313;601
"O'Brien County, Iowa";13840;6927;6913;3292;1707;1585;7689;3982;3707;2859;1238;1621;592;195;397
"Osceola County, Iowa";6040;3082;2958;1441;771;670;3300;1727;1573;1299;584;715;233;85;148
"Page County, Iowa";15249;8051;7198;2949;1610;1339;8896;4908;3988;3404;1533;1871;560;174;386
"Palo Alto County, Iowa";8929;4449;4480;2037;1064;973;4934;2539;2395;1958;846;1112;390;122;268
"Plymouth County, Iowa";25095;12530;12565;6272;3208;3064;14212;7211;7001;4611;2111;2500;710;230;480
"Pocahontas County, Iowa";6740;3354;3386;1544;760;784;3644;1876;1768;1552;718;834;245;93;152
"Polk County, Iowa";487204;240245;246959;121315;61812;59503;302258;150752;151506;63631;27681;35950;8245;2755;5490
"Pottawattamie County, Iowa";93533;46030;47503;22030;11312;10718;55168;27444;27724;16335;7274;9061;2161;769;1392
"Poweshiek County, Iowa";18699;9061;9638;3643;1845;1798;11169;5491;5678;3887;1725;2162;623;209;414
"Ringgold County, Iowa";4968;2454;2514;1167;619;548;2582;1296;1286;1219;539;680;249;71;178
"Sac County, Iowa";9719;4791;4928;2176;1104;1072;5260;2670;2590;2283;1017;1266;440;126;314
"Scott County, Iowa";173283;84974;88309;41080;20697;20383;104061;51661;52400;28142;12616;15526;3765;1294;2471
"Shelby County, Iowa";11578;5725;5853;2603;1344;1259;6357;3199;3158;2618;1182;1436;518;193;325
"Sioux County, Iowa";34909;17575;17334;9433;4847;4586;19940;10237;9703;5536;2491;3045;983;330;653
"Story County, Iowa";98105;51227;46878;16245;8322;7923;70048;37571;32477;11812;5334;6478;1682;582;1100
"Tama County, Iowa";16904;8471;8433;4075;2100;1975;9494;4838;4656;3335;1533;1802;552;181;371
"Taylor County, Iowa";6191;3141;3050;1455;791;664;3367;1692;1675;1369;658;711;214;86;128
"Union County, Iowa";12359;5991;6368;2744;1364;1380;7071;3482;3589;2544;1145;1399;388;135;253
"Van Buren County, Iowa";7020;3613;3407;1601;891;710;3843;1960;1883;1576;762;814;191;82;109
"Wapello County, Iowa";35205;17539;17666;7931;4024;3907;20937;10689;10248;6337;2826;3511;886;301;585
"Warren County, Iowa";51056;25173;25883;12657;6536;6121;30374;15025;15349;8025;3612;4413;959;318;641
"Washington County, Iowa";22141;10939;11202;5493;2814;2679;12376;6236;6140;4272;1889;2383;692;213;479
"Wayne County, Iowa";6401;3146;3255;1625;817;808;3360;1704;1656;1416;625;791;243;72;171
"Webster County, Iowa";36277;18779;17498;7884;4111;3773;21739;11699;10040;6654;2969;3685;934;337;597
"Winnebago County, Iowa";10518;5185;5333;2319;1116;1203;5936;3080;2856;2263;989;1274;421;113;308
"Winneshiek County, Iowa";20029;9993;10036;3709;1922;1787;12176;6169;6007;4144;1902;2242;676;242;434
"Woodbury County, Iowa";102539;50815;51724;26742;13543;13199;60326;30415;29911;15471;6857;8614;1982;681;1301
