FIPS,Combined_Key,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20
1000,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.364337013544328,2.3689138688083102,2.3689138688083102,2.2762270726399514,2.2762270726399514,2.2762270726399514,1.234128468617241,1.234128468617241,1.234128468617241,1.179336541749076,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549,1.0560113311607549
2000,AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606,1.0112509018369606
4000,AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.6153917597666543,2.619234981554732,2.619234981554732,2.619234981554732,2.619234981554732,2.619234981554732,1.4179169460909633,1.4179169460909633,1.4179169460909633,1.4179169460909633,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,1.3556436645584868,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537,0.8132274408296537
5000,AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01412660482029,2.01750443683751,2.01750443683751,2.01750443683751,2.01750443683751,2.01750443683751,1.9801182895954383,1.0857108900984007,1.0857108900984007,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233,1.0170804120921233
6000,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3099261933866333,3.3155744208537885,3.3155744208537885,3.3155744208537885,3.3155744208537885,3.1455750426156266,3.083561666841463,3.083561666841463,3.083561666841463,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462,1.014230333727462
8000,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.7657436094322065,2.770500738948812,2.770500738948812,2.6607440402775864,2.6607440402775864,2.6607440402775864,2.608409713043336,2.5706425711077,2.5706425711077,2.5706425711077,2.478477464795632,2.478477464795632,2.478477464795632,1.3632328702768353,1.2240693115510075,1.2240693115510075,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677,0.8479893706784677
9000,CT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.109865080568906,4.116914799120327,4.116914799120327,4.116914799120327,4.116914799120327,4.116914799120327,3.838103029837943,2.109746370214093,2.109746370214093,2.109746370214093,2.109746370214093,2.109746370214093,2.109746370214093,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152,1.2587369029659152
10000,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.3735043315348774,3.379280346714391,3.214621990328737,3.214621990328737,3.214621990328737,3.214621990328737,1.732344707828899,1.732344707828899,1.732344707828899,1.732344707828899,1.732344707828899,1.732344707828899,1.732344707828899,1.732344707828899,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746,1.033620946586746
11000,DC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.5051463702590264,3.51170399907601,3.51170399907601,3.51170399907601,3.51170399907601,3.51170399907601,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.7995254678880264,1.5493545414136654,1.5493545414136654,1.5493545414136654,1.5493545414136654,1.5493545414136654,1.5493545414136654,1.5493545414136654,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075,1.073886245090075
12000,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.678896639297585,2.684027447733876,2.684027447733876,2.684027447733876,2.684027447733876,2.684027447733876,1.464585647893938,1.2535663955611926,1.2535663955611926,1.2535663955611926,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249,1.1786061544866249
