FIPS,State,Area_Name,Share_age0to17,Share_age18to64,Share_age65plus,Fatality_ratio_age0to17,Fatality_ratio_age18to64,Fatality_ratio_age65plus,fatality_rate
0,US,United States,0.224347946562432,0.6153940706702489,0.16025798276731906,0.0,0.005666026871401152,0.04593577981651376,0.010848414751156795
1000,AL,Alabama,NA,NA,NA,0.0,0.005666026871401152,0.04593577981651376,NA
1001,AL,Autauga County,0.23674034639664754,0.6076329562417943,0.15562669736155824,0.0,0.005666026871401152,0.04593577981651376,0.01059169836158669
1003,AL,Baldwin County,0.21607911128234766,0.5794873911807066,0.2044334975369458,0.0,0.005666026871401152,0.04593577981651376,0.012674203260044986
1005,AL,Barbour County,0.20867328483581848,0.5971223021582733,0.19420441300590813,0.0,0.005666026871401152,0.04593577981651376,0.012304242164776392
1007,AL,Bibb County,0.2047767857142857,0.6304910714285714,0.16473214285714285,0.0,0.005666026871401152,0.04593577981651376,0.011139478795880993
1009,AL,Blount County,0.23153526970954358,0.5860995850622407,0.18236514522821576,0.0,0.005666026871401152,0.04593577981651376,0.011697941155689595
1011,AL,Bullock County,0.21079108305385677,0.6253698954428881,0.16383902150325508,0.0,0.005666026871401152,0.04593577981651376,0.011069435849271322
1013,AL,Butler County,0.22245934959349595,0.5745426829268293,0.2029979674796748,0.0,0.005666026871401152,0.04593577981651376,0.012580244217576489
1015,AL,Calhoun County,0.21609772745171818,0.6067275129728642,0.17717475957541762,0.0,0.005666026871401152,0.04593577981651376,0.011576395137022787
1017,AL,Chambers County,0.2080023798899301,0.5967871485943775,0.1952104715156924,0.0,0.005666026871401152,0.04593577981651376,0.012348557257865293
1019,AL,Cherokee County,0.19168715427166563,0.5785955746773203,0.22971727105101414,0.0,0.005666026871401152,0.04593577981651376,0.013830580056845284
1021,AL,Chilton County,0.2376055987135642,0.5945462369487917,0.1678481643376441,0.0,0.005666026871401152,0.04593577981651376,0.011078951274462328
1023,AL,Choctaw County,0.19990654933416402,0.5701269371544272,0.22996651351140876,0.0,0.005666026871401152,0.04593577981651376,0.01379404567585803
1025,AL,Clarke County,0.21718227424749165,0.584113712374582,0.19870401337792643,0.0,0.005666026871401152,0.04593577981651376,0.012437227797454297
1027,AL,Clay County,0.20248587570621468,0.5902824858757062,0.2072316384180791,0.0,0.005666026871401152,0.04593577981651376,0.012863903340077499
1029,AL,Cleburne County,0.227663975445386,0.577834122906519,0.19450190164809503,0.0,0.005666026871401152,0.04593577981651376,0.01220862019560096
1031,AL,Coffee County,0.236567839873625,0.5938854533895856,0.16954670673678937,0.0,0.005666026871401152,0.04593577981651376,0.011153231126715835
1033,AL,Colbert County,0.20762572586830283,0.5930754903034952,0.19929878382820204,0.0,0.005666026871401152,0.04593577981651376,0.01251532671646028
1035,AL,Conecuh County,0.2077054655046021,0.5673210067606093,0.22497352773478863,0.0,0.005666026871401152,0.04593577981651376,0.013548790503585569
1037,AL,Coosa County,0.16584227718152122,0.6026131591227252,0.23154456369575363,0.0,0.005666026871401152,0.04593577981651376,0.014050602448288183
1039,AL,Covington County,0.21870437462823772,0.5706753906883686,0.21062023468339372,0.0,0.005666026871401152,0.04593577981651376,0.012908466823806477
1041,AL,Crenshaw County,0.22858796296296297,0.5812355324074074,0.19017650462962962,0.0,0.005666026871401152,0.04593577981651376,0.012029202188174402
1043,AL,Cullman County,0.2247908727019966,0.5900985115409506,0.18511061575705282,0.0,0.005666026871401152,0.04593577981651376,0.011846714510280111
1045,AL,Dale County,0.22973690661001717,0.6013358934553477,0.16892719993463517,0.0,0.005666026871401152,0.04593577981651376,0.011166987992273619
1047,AL,Dallas County,0.2380840511615766,0.5812581571391282,0.18065779169929522,0.0,0.005666026871401152,0.04593577981651376,0.011592080879207847
1049,AL,DeKalb County,0.24077887511381943,0.5866078307767738,0.17261329410940673,0.0,0.005666026871401152,0.04593577981651376,0.01125286200376838
1051,AL,Elmore County,0.22239183264742876,0.626179979728162,0.15142818762440924,0.0,0.005666026871401152,0.04593577981651376,0.010503924476201791
1053,AL,Escambia County,0.22365843039076957,0.5968488080983999,0.17949276151083052,0.0,0.005666026871401152,0.04593577981651376,0.01162690135626881
1055,AL,Etowah County,0.2146027843630794,0.5952819972488074,0.1901152183881133,0.0,0.005666026871401152,0.04593577981651376,0.01210597460411789
1057,AL,Fayette County,0.21128217610904887,0.5774356477819023,0.21128217610904887,0.0,0.005666026871401152,0.04593577981651376,0.012977177417736343
1059,AL,Franklin County,0.24535280425979658,0.5857857985524344,0.16886139718776902,0.0,0.005666026871401152,0.04593577981651376,0.011075858036209509
1061,AL,Geneva County,0.21919890552557575,0.5778292923918826,0.20297180208254162,0.0,0.005666026871401152,0.04593577981651376,0.012597664307199762
1063,AL,Greene County,0.22166889347746874,0.5552046641564435,0.2231264423660877,0.0,0.005666026871401152,0.04593577981651376,0.013395291674008313
1065,AL,Hale County,0.23047670786364255,0.5774140975146,0.19210919462175743,0.0,0.005666026871401152,0.04593577981651376,0.012096329457316408
1067,AL,Henry County,0.20611308036492532,0.5666802254634203,0.22720669417165437,0.0,0.005666026871401152,0.04593577981651376,0.013647742061274499
1069,AL,Houston County,0.23032409617845342,0.5916903802448387,0.17798552357670785,0.0,0.005666026871401152,0.04593577981651376,0.011528437415563392
1071,AL,Jackson County,0.20886809958249575,0.5906332147827431,0.2004986856347611,0.0,0.005666026871401152,0.04593577981651376,0.012556607142919866
1073,AL,Jefferson County,0.22762172000606704,0.6138055513423327,0.1585727286516002,0.0,0.005666026871401152,0.04593577981651376,0.010762000695964545
