FIPS,Combined_Key,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20
1000,AL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.236696434677062,2.1787378058523825,2.1787378058523825,2.1787378058523825,2.0923065438933177,2.0923065438933177,2.0923065438933177,2.024108418165653,1.956394015974567,1.956394015974567,1.956394015974567,1.956394015974567,1.956394015974567,1.956394015974567,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012,1.7302754072362012
2000,AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4000,AZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.315552073371588,2.2229079495716006,2.2229079495716006,2.2229079495716006,2.2229079495716006,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,2.148211516009173,1.802202096501828,1.802202096501828,1.802202096501828,1.802202096501828,1.802202096501828,1.802202096501828,1.802202096501828,1.802202096501828
5000,AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6000,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.500364767780635,2.314798879799461,2.314798879799461,2.314798879799461,2.314798879799461,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683,1.85192035554683
8000,CO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.5166949698278867,2.450241914420244,2.450241914420244,2.450241914420244,2.450241914420244,2.347586761346513,2.347586761346513,2.347586761346513,2.2687031766716803,2.2687031766716803,2.2687031766716803,2.1789188301098767,2.1055763355690718,2.1055763355690718,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136,1.8684171551460136
9000,CT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.8267771819056957,2.6168019138010354,2.507655246835119,2.507655246835119,2.507655246835119,2.507655246835119,2.507655246835119,2.507655246835119,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416,2.092165037410416
10000,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.259119305346521,2.093407025892883,2.093407025892883,2.093407025892883,2.093407025892883,2.004781977283823,2.004781977283823,2.004781977283823,2.004781977283823,2.004781977283823,2.004781977283823,2.004781977283823,2.004781977283823,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926,1.6692340757369926
11000,DC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.440230186553381,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.1689895420542062,2.043119041823096,2.043119041823096,2.043119041823096,2.043119041823096,2.043119041823096,2.043119041823096,2.043119041823096,1.8150380392764327,1.8150380392764327,1.8150380392764327,1.8150380392764327,1.8150380392764327,1.8150380392764327,1.8150380392764327
12000,FL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.716354548111763,2.6061839776117104,2.4537234386807043,2.4537234386807043,2.4537234386807043,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.2702787623869645,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994,2.010933664836994
