County,total,female,male,f<18,m<18,f<18-64,m<18-64,f>65,m>65,f_white,m_white,f_af_amer,m_af_amer,f_amerindian_alaska,m_amerindian_alaska,f_asian,m_asian,f_pasific_island,m_pasific_island,f_two_more_races,m_two_more_races,f>15,f>15_single,f>15_married,f>15_separated,f>15_windowed,f>15_divorced,m>15,m>15_single,m>15_married,m>15_separated,m>15_windowed,m>15_divorced,over_25_high_school_or_higher,over_25_bachelor_or_higher,house_has_children_under_18,married-couple_family,householder_living_alone,grandparents_living_with_grandchildren_under_18_years
Seneca County,34300,16295,18005,3268,3536,11416,9489,3538,3053,15600,15873,247,1576,50,107,146,126,0,3,299,300,13769,3720,6818,244,1226,1761,15200,5504,7206,327,528,1635,21191,5181,3245,6530,3843,206
Steuben County,95796,48047,47749,9914,10590,28478,27964,10169,8681,46107,45364,568,940,137,149,742,757,13,14,698,760,40168,9795,19931,1140,4155,5147,39440,12003,20220,1039,1253,4925,61258,15729,10250,19159,11908,654
Suffolk County,1481093,751976,729117,153049,159970,459863,458455,140472,109284,637322,619630,65787,61171,4245,4664,30963,29706,634,742,14299,14408,627887,186351,308076,12032,60693,60735,598766,216116,317535,7854,16857,40404,930213,366348,145517,280405,108435,6610
Sullivan County,75498,36633,38865,7799,8202,23796,21463,7371,6867,31446,32369,3177,4228,232,294,644,579,29,32,1003,1046,30245,9023,13800,912,3152,3358,31806,12127,14705,633,1043,3298,45757,12314,7401,12918,8365,650
Tioga County,48560,24431,24129,4968,5242,14297,14199,5264,4590,23729,23254,202,257,53,66,205,180,5,15,326,358,20627,4492,11078,542,2139,2376,19902,5824,11400,285,569,1824,31547,8849,5020,10701,5283,433
Tompkins County,102793,52269,50524,7303,7703,36012,36875,8091,6809,42686,40814,2241,2183,243,227,5248,5568,35,31,1734,1668,46101,21492,17029,592,2732,4256,44236,23284,16940,484,871,2657,56335,31512,8467,15867,12808,361
Ulster County,178599,90094,88505,15571,15946,56652,55102,19421,15907,79811,76642,5419,7453,396,383,2041,1634,42,36,2457,2409,77349,23261,35001,1611,7648,9828,75590,27983,35763,1622,2451,7771,117637,41847,15985,31659,21405,983
Warren County,64265,32693,31572,5649,6094,18905,19326,7718,6573,31528,30217,355,471,91,101,327,274,10,12,524,518,28155,7152,13557,594,3016,3836,26722,9045,13242,401,1017,3017,43801,14339,5607,12691,8846,271
Washington County,61197,29523,31674,5516,5949,20166,17647,6360,5559,28816,29274,191,1881,83,117,179,143,10,12,391,392,25183,6358,12310,675,2434,3406,26916,9625,13124,437,750,2980,39320,9151,5879,11922,6441,509
Wayne County,90064,45361,44703,9488,9710,27022,26842,9031,7971,42901,41763,1208,1562,166,193,354,286,16,21,928,974,37858,9681,19229,989,3486,4473,36861,11118,19796,582,1104,4261,57090,14229,9282,18645,9773,549
Westchester County,967612,498892,468720,102558,109354,289400,301292,95042,69966,364626,349960,85297,74026,4032,4918,33122,28388,636,632,12109,11533,414022,133049,194029,10113,35286,41545,377674,136061,203288,6163,9163,22999,584629,320897,107538,179654,92683,4004
Wyoming County,40085,18380,21705,3747,3828,14416,10906,3727,3461,18053,19158,75,2181,52,113,115,97,8,4,197,230,15586,3702,8357,279,1322,1926,18396,6624,8906,380,500,1986,26122,4821,4026,8042,4405,223
Yates County,24841,12771,12070,2689,2759,6854,7367,2715,2457,12385,11786,104,138,42,35,145,49,3,2,136,127,10665,2972,5299,425,972,997,9704,3128,5178,140,251,1007,14310,4051,2174,4953,2497,175
Total,"19,542,209","10,053,779","9,488,430","1,989,029","2,079,073","6,027,415","6,233,158","1,831,592","1,381,942","6,970,835","6,723,991","1,840,503","1,611,570","94,426","95,403","903,770","825,445","13,548","13,126","256,412","241,690","8,421,684","2,994,663","3,579,104","238,633","760,177","849,107","7,765,468","3,156,059","3,698,229","151,985","200,923","558,272","11,766,493","4,888,138","1,925,149","3,232,009","2,176,387","120,376"
