"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"BALANCE OF STATE","2020","01",5500600,5251300,249300,4.5                                                                                                                                                                             
"BALANCE OF STATE","2019","00",5445200,5229100,216100,4                                                                                                                                                                               
"BALANCE OF STATE","2019","01",5421300,5171100,250100,4.6                                                                                                                                                                             
"BALANCE OF STATE","2019","02",5423100,5177200,245900,4.5                                                                                                                                                                             
"BALANCE OF STATE","2019","03",5424800,5199100,225600,4.2                                                                                                                                                                             
"BALANCE OF STATE","2019","04",5386700,5195200,191500,3.6                                                                                                                                                                             
"BALANCE OF STATE","2019","05",5404700,5214600,190100,3.5                                                                                                                                                                             
"BALANCE OF STATE","2019","06",5484100,5279000,205100,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","07",5514700,5288800,225800,4.1                                                                                                                                                                             
"BALANCE OF STATE","2019","08",5479000,5254500,224500,4.1                                                                                                                                                                             
"BALANCE OF STATE","2019","09",5449800,5249500,200300,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","10",5470300,5266800,203400,3.7                                                                                                                                                                             
"BALANCE OF STATE","2019","11",5445700,5240300,205400,3.8                                                                                                                                                                             
"BALANCE OF STATE","2019","12",5438300,5212300,225900,4.2                                                                                                                                                                             
"BALANCE OF STATE","2018","00",5441800,5219000,222800,4.1                                                                                                                                                                             
"BALANCE OF STATE","2018","01",5367200,5080900,286300,5.3                                                                                                                                                                             
"BALANCE OF STATE","2018","02",5405300,5112300,293000,5.4                                                                                                                                                                             
"BALANCE OF STATE","2018","03",5414800,5157000,257800,4.8                                                                                                                                                                             
"BALANCE OF STATE","2018","04",5409100,5184300,224900,4.2                                                                                                                                                                             
"BALANCE OF STATE","2018","05",5438500,5238300,200300,3.7                                                                                                                                                                             
"BALANCE OF STATE","2018","06",5529600,5308600,221000,4                                                                                                                                                                               
"BALANCE OF STATE","2018","07",5553100,5332300,220900,4                                                                                                                                                                               
"BALANCE OF STATE","2018","08",5463700,5252700,211000,3.9                                                                                                                                                                             
"BALANCE OF STATE","2018","09",5429500,5242100,187400,3.5                                                                                                                                                                             
"BALANCE OF STATE","2018","10",5449400,5266200,183200,3.4                                                                                                                                                                             
"BALANCE OF STATE","2018","11",5426500,5245700,180800,3.3                                                                                                                                                                             
"BALANCE OF STATE","2018","12",5414600,5207300,207300,3.8                                                                                                                                                                             
"BALANCE OF STATE","2017","00",5438300,5180600,257600,4.7                                                                                                                                                                             
"BALANCE OF STATE","2017","01",5379300,5090300,288900,5.4                                                                                                                                                                             
"BALANCE OF STATE","2017","02",5390500,5092900,297600,5.5                                                                                                                                                                             
"BALANCE OF STATE","2017","03",5432100,5169400,262700,4.8                                                                                                                                                                             
"BALANCE OF STATE","2017","04",5435900,5192800,243100,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","05",5438500,5197200,241300,4.4                                                                                                                                                                             
"BALANCE OF STATE","2017","06",5525300,5271800,253500,4.6                                                                                                                                                                             
"BALANCE OF STATE","2017","07",5540800,5274500,266300,4.8                                                                                                                                                                             
"BALANCE OF STATE","2017","08",5485100,5219000,266100,4.9                                                                                                                                                                             
"BALANCE OF STATE","2017","09",5464900,5219300,245600,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","10",5416100,5180500,235600,4.4                                                                                                                                                                             
"BALANCE OF STATE","2017","11",5392700,5151000,241800,4.5                                                                                                                                                                             
"BALANCE OF STATE","2017","12",5358000,5109000,249000,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","00",5436200,5186700,249500,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","01",5434900,5161900,273000,5                                                                                                                                                                               
"BALANCE OF STATE","2016","02",5438600,5159500,279100,5.1                                                                                                                                                                             
"BALANCE OF STATE","2016","03",5457200,5194100,263100,4.8                                                                                                                                                                             
"BALANCE OF STATE","2016","04",5426900,5188300,238600,4.4                                                                                                                                                                             
"BALANCE OF STATE","2016","05",5438100,5217200,220900,4.1                                                                                                                                                                             
"BALANCE OF STATE","2016","06",5503600,5262700,241000,4.4                                                                                                                                                                             
"BALANCE OF STATE","2016","07",5509000,5253200,255700,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","08",5465200,5211900,253300,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","09",5413600,5166600,247100,4.6                                                                                                                                                                             
"BALANCE OF STATE","2016","10",5409500,5168000,241400,4.5                                                                                                                                                                             
"BALANCE OF STATE","2016","11",5379400,5147100,232300,4.3                                                                                                                                                                             
"BALANCE OF STATE","2016","12",5358300,5109600,248700,4.6                                                                                                                                                                             
"BALANCE OF STATE","2015","00",5456500,5186100,270500,5                                                                                                                                                                               
"BALANCE OF STATE","2015","01",5409500,5087500,322000,6                                                                                                                                                                               
"BALANCE OF STATE","2015","02",5393800,5073700,320100,5.9                                                                                                                                                                             
"BALANCE OF STATE","2015","03",5415500,5124400,291100,5.4                                                                                                                                                                             
"BALANCE OF STATE","2015","04",5442600,5174500,268100,4.9                                                                                                                                                                             
"BALANCE OF STATE","2015","05",5499900,5226500,273500,5                                                                                                                                                                               
"BALANCE OF STATE","2015","06",5553300,5278900,274400,4.9                                                                                                                                                                             
"BALANCE OF STATE","2015","07",5547100,5265900,281200,5.1                                                                                                                                                                             
"BALANCE OF STATE","2015","08",5502000,5241100,260900,4.7                                                                                                                                                                             
"BALANCE OF STATE","2015","09",5423100,5181500,241600,4.5                                                                                                                                                                             
"BALANCE OF STATE","2015","10",5440000,5205200,234800,4.3                                                                                                                                                                             
"BALANCE OF STATE","2015","11",5422800,5188100,234600,4.3                                                                                                                                                                             
"BALANCE OF STATE","2015","12",5428700,5185500,243200,4.5                                                                                                                                                                             
"BALANCE OF STATE","2014","00",5438400,5131300,307100,5.6                                                                                                                                                                             
"BALANCE OF STATE","2014","01",5442100,5076700,365400,6.7                                                                                                                                                                             
"BALANCE OF STATE","2014","02",5428100,5054400,373700,6.9                                                                                                                                                                             
"BALANCE OF STATE","2014","03",5445400,5101200,344200,6.3                                                                                                                                                                             
"BALANCE OF STATE","2014","04",5399700,5111400,288200,5.3                                                                                                                                                                             
"BALANCE OF STATE","2014","05",5439700,5145600,294000,5.4                                                                                                                                                                             
"BALANCE OF STATE","2014","06",5524900,5223800,301000,5.4                                                                                                                                                                             
"BALANCE OF STATE","2014","07",5525800,5208600,317200,5.7                                                                                                                                                                             
"BALANCE OF STATE","2014","08",5468800,5163300,305500,5.6                                                                                                                                                                             
"BALANCE OF STATE","2014","09",5397300,5116300,281000,5.2                                                                                                                                                                             
"BALANCE OF STATE","2014","10",5428100,5159400,268600,4.9                                                                                                                                                                             
"BALANCE OF STATE","2014","11",5391900,5115900,276000,5.1                                                                                                                                                                             
"BALANCE OF STATE","2014","12",5369600,5099300,270300,5                                                                                                                                                                               
"BALANCE OF STATE","2013","00",5574600,5189900,384800,6.9                                                                                                                                                                             
"BALANCE OF STATE","2013","01",5576000,5099800,476200,8.5                                                                                                                                                                             
"BALANCE OF STATE","2013","02",5548000,5092400,455600,8.2                                                                                                                                                                             
"BALANCE OF STATE","2013","03",5534500,5123400,411000,7.4                                                                                                                                                                             
"BALANCE OF STATE","2013","04",5556900,5181100,375700,6.8                                                                                                                                                                             
"BALANCE OF STATE","2013","05",5609900,5234300,375600,6.7                                                                                                                                                                             
"BALANCE OF STATE","2013","06",5698600,5301900,396700,7                                                                                                                                                                               
"BALANCE OF STATE","2013","07",5698000,5305600,392300,6.9                                                                                                                                                                             
"BALANCE OF STATE","2013","08",5638900,5266300,372600,6.6                                                                                                                                                                             
"BALANCE OF STATE","2013","09",5564800,5206500,358300,6.4                                                                                                                                                                             
"BALANCE OF STATE","2013","10",5509200,5162500,346700,6.3                                                                                                                                                                             
"BALANCE OF STATE","2013","11",5497400,5164100,333300,6.1                                                                                                                                                                             
"BALANCE OF STATE","2013","12",5463600,5140500,323100,5.9                                                                                                                                                                             
"BALANCE OF STATE","2012","00",5589800,5146900,442900,7.9                                                                                                                                                                             
"BALANCE OF STATE","2012","01",5521800,5040900,480900,8.7                                                                                                                                                                             
"BALANCE OF STATE","2012","02",5538100,5049700,488400,8.8                                                                                                                                                                             
"BALANCE OF STATE","2012","03",5542400,5080200,462200,8.3                                                                                                                                                                             
"BALANCE OF STATE","2012","04",5535700,5106700,429100,7.8                                                                                                                                                                             
"BALANCE OF STATE","2012","05",5595900,5156900,439000,7.8                                                                                                                                                                             
"BALANCE OF STATE","2012","06",5678600,5220700,457900,8.1                                                                                                                                                                             
"BALANCE OF STATE","2012","07",5677900,5209600,468200,8.2                                                                                                                                                                             
"BALANCE OF STATE","2012","08",5622900,5182400,440500,7.8                                                                                                                                                                             
"BALANCE OF STATE","2012","09",5589600,5169900,419700,7.5                                                                                                                                                                             
"BALANCE OF STATE","2012","10",5626300,5216100,410200,7.3                                                                                                                                                                             
"BALANCE OF STATE","2012","11",5575600,5176400,399200,7.2                                                                                                                                                                             
"BALANCE OF STATE","2012","12",5572500,5153500,419000,7.5                                                                                                                                                                             
"BALANCE OF STATE","2011","00",5554500,5125400,429200,7.7                                                                                                                                                                             
"BALANCE OF STATE","2011","01",5549500,5069200,480200,8.7                                                                                                                                                                             
"BALANCE OF STATE","2011","02",5531000,5060900,470100,8.5                                                                                                                                                                             
"BALANCE OF STATE","2011","03",5537500,5096400,441100,8                                                                                                                                                                               
"BALANCE OF STATE","2011","04",5529100,5121100,408000,7.4                                                                                                                                                                             
"BALANCE OF STATE","2011","05",5545300,5140900,404300,7.3                                                                                                                                                                             
"BALANCE OF STATE","2011","06",5604000,5178600,425400,7.6                                                                                                                                                                             
"BALANCE OF STATE","2011","07",5608900,5175500,433400,7.7                                                                                                                                                                             
"BALANCE OF STATE","2011","08",5592600,5174600,418000,7.5                                                                                                                                                                             
"BALANCE OF STATE","2011","09",5536300,5114700,421500,7.6                                                                                                                                                                             
"BALANCE OF STATE","2011","10",5549400,5140400,409000,7.4                                                                                                                                                                             
"BALANCE OF STATE","2011","11",5535900,5125800,410200,7.4                                                                                                                                                                             
"BALANCE OF STATE","2011","12",5535000,5106300,428700,7.7                                                                                                                                                                             
"BALANCE OF STATE","2010","00",5645000,5196200,448800,8                                                                                                                                                                               
"BALANCE OF STATE","2010","01",5595800,5096700,499000,8.9                                                                                                                                                                             
"BALANCE OF STATE","2010","02",5598900,5101300,497600,8.9                                                                                                                                                                             
"BALANCE OF STATE","2010","03",5609800,5134400,475400,8.5                                                                                                                                                                             
"BALANCE OF STATE","2010","04",5672700,5234100,438600,7.7                                                                                                                                                                             
"BALANCE OF STATE","2010","05",5668400,5239800,428600,7.6                                                                                                                                                                             
"BALANCE OF STATE","2010","06",5736000,5294700,441300,7.7                                                                                                                                                                             
"BALANCE OF STATE","2010","07",5751900,5298900,453100,7.9                                                                                                                                                                             
"BALANCE OF STATE","2010","08",5721100,5284900,436200,7.6                                                                                                                                                                             
"BALANCE OF STATE","2010","09",5634100,5206300,427800,7.6                                                                                                                                                                             
"BALANCE OF STATE","2010","10",5606900,5189200,417700,7.5                                                                                                                                                                             
"BALANCE OF STATE","2010","11",5585300,5148900,436400,7.8                                                                                                                                                                             
"BALANCE OF STATE","2010","12",5558700,5125000,433700,7.8                                                                                                                                                                             
"BALANCE OF STATE","2009","00",5686700,5253000,433800,7.6                                                                                                                                                                             
"BALANCE OF STATE","2009","01",5694000,5259500,434500,7.6                                                                                                                                                                             
"BALANCE OF STATE","2009","02",5688200,5231100,457100,8                                                                                                                                                                               
"BALANCE OF STATE","2009","03",5673400,5225800,447600,7.9                                                                                                                                                                             
"BALANCE OF STATE","2009","04",5694500,5279200,415300,7.3                                                                                                                                                                             
"BALANCE OF STATE","2009","05",5699100,5277200,421900,7.4                                                                                                                                                                             
"BALANCE OF STATE","2009","06",5798000,5354200,443700,7.7                                                                                                                                                                             
"BALANCE OF STATE","2009","07",5804800,5364000,440800,7.6                                                                                                                                                                             
"BALANCE OF STATE","2009","08",5744500,5317800,426700,7.4                                                                                                                                                                             
"BALANCE OF STATE","2009","09",5634900,5204900,430100,7.6                                                                                                                                                                             
"BALANCE OF STATE","2009","10",5626500,5203000,423500,7.5                                                                                                                                                                             
"BALANCE OF STATE","2009","11",5619000,5195400,423500,7.5                                                                                                                                                                             
"BALANCE OF STATE","2009","12",5563600,5123200,440300,7.9                                                                                                                                                                             
"BALANCE OF STATE","2008","00",5738600,5433600,305000,5.3                                                                                                                                                                             
"BALANCE OF STATE","2008","01",5673200,5366800,306400,5.4                                                                                                                                                                             
"BALANCE OF STATE","2008","02",5648000,5340500,307500,5.4                                                                                                                                                                             
"BALANCE OF STATE","2008","03",5668700,5371600,297100,5.2                                                                                                                                                                             
"BALANCE OF STATE","2008","04",5687500,5423100,264500,4.6                                                                                                                                                                             
"BALANCE OF STATE","2008","05",5719900,5437400,282500,4.9                                                                                                                                                                             
"BALANCE OF STATE","2008","06",5827400,5533500,293900,5                                                                                                                                                                               
"BALANCE OF STATE","2008","07",5856800,5548700,308100,5.3                                                                                                                                                                             
"BALANCE OF STATE","2008","08",5809500,5503400,306100,5.3                                                                                                                                                                             
"BALANCE OF STATE","2008","09",5737800,5431500,306300,5.3                                                                                                                                                                             
"BALANCE OF STATE","2008","10",5766700,5463300,303400,5.3                                                                                                                                                                             
"BALANCE OF STATE","2008","11",5745300,5420800,324500,5.6                                                                                                                                                                             
"BALANCE OF STATE","2008","12",5722200,5362800,359300,6.3                                                                                                                                                                             
"BALANCE OF STATE","2007","00",5663500,5423900,239500,4.2                                                                                                                                                                             
"BALANCE OF STATE","2007","01",5642100,5372000,270100,4.8                                                                                                                                                                             
"BALANCE OF STATE","2007","02",5623700,5357100,266600,4.7                                                                                                                                                                             
"BALANCE OF STATE","2007","03",5627600,5388100,239500,4.3                                                                                                                                                                             
"BALANCE OF STATE","2007","04",5595700,5374500,221200,4                                                                                                                                                                               
"BALANCE OF STATE","2007","05",5623800,5407800,216000,3.8                                                                                                                                                                             
"BALANCE OF STATE","2007","06",5743200,5510200,233000,4.1                                                                                                                                                                             
"BALANCE OF STATE","2007","07",5766300,5517800,248500,4.3                                                                                                                                                                             
"BALANCE OF STATE","2007","08",5694000,5465600,228400,4                                                                                                                                                                               
"BALANCE OF STATE","2007","09",5647800,5414500,233200,4.1                                                                                                                                                                             
"BALANCE OF STATE","2007","10",5650100,5426000,224100,4                                                                                                                                                                               
"BALANCE OF STATE","2007","11",5680600,5445600,235000,4.1                                                                                                                                                                             
"BALANCE OF STATE","2007","12",5666600,5407900,258800,4.6                                                                                                                                                                             
"BALANCE OF STATE","2006","00",5691800,5450900,240800,4.2                                                                                                                                                                             
"BALANCE OF STATE","2006","01",5642500,5368400,274100,4.9                                                                                                                                                                             
"BALANCE OF STATE","2006","02",5650200,5363500,286700,5.1                                                                                                                                                                             
"BALANCE OF STATE","2006","03",5654800,5386600,268200,4.7                                                                                                                                                                             
"BALANCE OF STATE","2006","04",5653100,5410000,243100,4.3                                                                                                                                                                             
"BALANCE OF STATE","2006","05",5677800,5441000,236900,4.2                                                                                                                                                                             
"BALANCE OF STATE","2006","06",5784700,5542500,242100,4.2                                                                                                                                                                             
"BALANCE OF STATE","2006","07",5798800,5544100,254600,4.4                                                                                                                                                                             
"BALANCE OF STATE","2006","08",5752800,5521500,231300,4                                                                                                                                                                               
"BALANCE OF STATE","2006","09",5649100,5425000,224200,4                                                                                                                                                                               
"BALANCE OF STATE","2006","10",5683400,5482000,201300,3.5                                                                                                                                                                             
"BALANCE OF STATE","2006","11",5677900,5462700,215200,3.8                                                                                                                                                                             
"BALANCE OF STATE","2006","12",5675900,5463600,212400,3.7                                                                                                                                                                             
"BALANCE OF STATE","2005","00",5658900,5405200,253700,4.5                                                                                                                                                                             
"BALANCE OF STATE","2005","01",5584900,5288600,296200,5.3                                                                                                                                                                             
"BALANCE OF STATE","2005","02",5578600,5281300,297300,5.3                                                                                                                                                                             
"BALANCE OF STATE","2005","03",5560000,5306300,253700,4.6                                                                                                                                                                             
"BALANCE OF STATE","2005","04",5601600,5359900,241700,4.3                                                                                                                                                                             
"BALANCE OF STATE","2005","05",5639300,5395600,243700,4.3                                                                                                                                                                             
"BALANCE OF STATE","2005","06",5735900,5482600,253400,4.4                                                                                                                                                                             
"BALANCE OF STATE","2005","07",5780100,5520100,260000,4.5                                                                                                                                                                             
"BALANCE OF STATE","2005","08",5749200,5515100,234100,4.1                                                                                                                                                                             
"BALANCE OF STATE","2005","09",5657900,5409400,248500,4.4                                                                                                                                                                             
