"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"Albany-Rensselaer-Schenectady Counties","2015","11",314100,301600,12500,4                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2015","12",313500,301000,12500,4                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2014","00",314500,298300,16100,5.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","01",314700,295500,19200,6.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","02",315100,295800,19200,6.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","03",315700,297900,17800,5.6                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","04",313300,298300,15000,4.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","05",315100,299500,15600,4.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","06",319000,302900,16100,5.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","07",317100,300000,17100,5.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","08",314400,298100,16300,5.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","09",311400,296400,15000,4.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","10",315000,300700,14300,4.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","11",312600,298300,14300,4.6                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2014","12",310100,296200,13800,4.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","00",322400,301800,20500,6.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","01",322800,297400,25400,7.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","02",322500,298600,23900,7.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","03",321200,299600,21600,6.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","04",322500,302700,19900,6.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","05",324800,304700,20200,6.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","06",329500,307900,21600,6.6                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","07",327000,305600,21400,6.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","08",324500,304100,20300,6.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","09",321300,301800,19400,6.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","10",318500,300000,18600,5.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","11",318400,301000,17400,5.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2013","12",315200,298400,16800,5.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","00",322300,298400,23900,7.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","01",317900,292100,25700,8.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","02",319900,293900,26000,8.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","03",319000,294400,24600,7.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","04",320600,297600,23000,7.2                                                                                                                                                          
