FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,2020-03-25 17:08:40,2020-03-26 20:24:50,2020-03-27 21:06:19,2020-03-28 20:48:56,2020-03-29 18:33:54
1101.0,Montgomery,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1103.0,Morgan,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105.0,Perry,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107.0,Pickens,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1109.0,Pike,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1111.0,Randolph,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113.0,Russell,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115.0,St. Clair,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117.0,Shelby,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119.0,Sumter,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121.0,Talladega,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1123.0,Tallapoosa,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125.0,Tuscaloosa,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1127.0,Walker,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1129.0,Washington,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131.0,Wilcox,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1133.0,Winston,Alabama,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Aleutians East,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,Aleutians West,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,Anchorage,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2050.0,Bethel,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060.0,Bristol Bay,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068.0,Denali,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070.0,Dillingham,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2090.0,Fairbanks North Star,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100.0,Haines,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105.0,Hoonah-Angoon,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110.0,Juneau,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122.0,Kenai Peninsula,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130.0,Ketchikan Gateway,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150.0,Kodiak Island,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2158.0,Kusilvak,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2164.0,Lake and Peninsula,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170.0,Matanuska-Susitna,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
