County,total,female,male,f<18,m<18,f<18-64,m<18-64,f>65,m>65,f_white,m_white,f_af_amer,m_af_amer,f_amerindian_alaska,m_amerindian_alaska,f_asian,m_asian,f_pasific_island,m_pasific_island,f_two_more_races,m_two_more_races,f>15,f>15_single,f>15_married,f>15_separated,f>15_windowed,f>15_divorced,m>15,m>15_single,m>15_married,m>15_separated,m>15_windowed,m>15_divorced,over_25_high_school_or_higher,over_25_bachelor_or_higher,house_has_children_under_18,married-couple_family,householder_living_alone,grandparents_living_with_grandchildren_under_18_years
Rooks County,5013,2594,2419,590,527,1383,1400,621,492,"2,476",2333,19,16,17,13,41,12,1,2,40,43,,,,,,,,,,,,,,,,,,
Rush County,3093,1505,1588,289,357,804,875,412,356,"1,446",1537,7,10,12,19,10,2,2,0,28,20,,,,,,,,,,,,,,,,,,
Russell County,6907,3501,3406,713,781,1863,1861,925,764,"3,326",3240,36,58,46,33,27,22,1,1,65,52,,,,,,,,,,,,,,,,,,
Saline County,54401,27417,26984,6175,6414,15829,16227,5413,4343,"24,903",24149,831,1135,207,214,650,625,15,29,811,832,,,,,,,,,,,,,,,,,,
Scott County,4897,2430,2467,632,687,1306,1324,492,456,"2,329",2338,16,20,28,36,24,36,4,4,29,33,,,,,,,,,,,,,,,,,,
Sedgwick County,513607,259501,254106,64736,67183,153866,153335,40899,33588,"209,675",206222,23999,23517,3479,3352,12160,11225,227,260,9961,9530,205219,57330,100159,4556,15785,27389,198224,68139,98452,2606,6020,23007,34706,17411,37827,90793,61311,4130
Seward County,21780,10728,11052,3474,3435,6064,6677,1190,940,"9,466",9740,559,537,174,192,320,332,17,33,192,218,,,,,,,,,,,,,,,,,,
Shawnee County,177499,91541,85958,20483,21467,52994,50259,18064,14232,"77,126",72335,7703,7375,1284,1227,1501,1288,102,119,3825,3614,74158,20007,35484,916,6476,11275,68754,22783,35387,595,2555,7434,109028,36886,13838,33879,23521,1658
Sheridan County,2533,1259,1274,314,323,628,684,317,267,"1,220",1242,9,8,6,9,6,5,1,0,17,10,,,,,,,,,,,,,,,,,,
Sherman County,5899,2940,2959,688,715,1636,1723,616,521,"2,814",2835,34,35,14,25,13,18,9,3,56,43,,,,,,,,,,,,,,,,,,
Smith County,3603,1811,1792,367,367,920,952,524,473,"1,747",1730,3,5,8,6,9,10,3,2,41,39,,,,,,,,,,,,,,,,,,
Stafford County,4178,2057,2121,462,517,1098,1174,497,430,"1,942",2009,11,12,39,51,11,8,0,1,54,40,,,,,,,,,,,,,,,,,,
Stanton County,1987,997,990,261,258,544,574,192,158,943,941,3,11,25,19,7,4,2,2,17,13,,,,,,,,,,,,,,,,,,
Stevens County,5559,2805,2754,857,750,1456,1612,492,392,"2,649",2597,19,31,67,51,17,20,4,4,49,51,,,,,,,,,,,,,,,,,,
Sumner County,22996,11477,11519,2762,2905,6394,6632,2321,1982,"10,784",10870,134,167,167,131,90,30,2,4,300,317,,,,,,,,,,,,,,,,,,
Thomas County,7711,3936,3775,886,916,2306,2241,744,618,"3,770",3592,31,49,34,49,41,24,5,3,55,58,,,,,,,,,,,,,,,,,,
Trego County,2793,1375,1418,233,267,766,787,376,364,"1,331",1368,10,13,3,7,6,7,1,1,24,22,,,,,,,,,,,,,,,,,,
Wabaunsee County,6899,3372,3527,747,865,1934,1972,691,690,"3,200",3374,20,33,28,32,16,5,0,0,108,83,,,,,,,,,,,,,,,,,,
Wallace County,1503,753,750,205,173,367,408,181,169,719,718,4,9,5,5,1,0,0,0,24,18,,,,,,,,,,,,,,,,,,
Washington County,5420,2653,2767,566,645,1379,1532,708,590,"2,558",2690,17,14,12,17,25,15,0,3,41,28,,,,,,,,,,,,,,,,,,
Wichita County,2105,1032,1073,282,267,525,605,225,201,986,1025,12,21,16,6,0,4,1,0,17,17,,,,,,,,,,,,,,,,,,
Wilson County,8665,4376,4289,1025,1063,2343,2380,1008,846,"4,118",4059,26,28,81,69,33,12,5,2,113,119,,,,,,,,,,,,,,,,,,
Woodson County,3183,1582,1601,324,348,849,889,409,364,"1,517",1518,8,12,24,27,3,1,0,0,30,43,,,,,,,,,,,,,,,,,,
Wyandotte County,165324,83302,82022,22426,23625,49382,49610,11494,8787,"54,863",55671,20322,17652,1101,1187,4092,4681,276,296,2648,2535,64054,21404,27592,2376,4765,7917,61820,24068,27197,1550,1658,7347,80463,18503,10877,25054,18309,1736
