,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018
44,"St. Lawrence County, NY",43515.0,41067.0,2448.0,5.6,49356.0,72.96,8100.0,26522.0,20259.0,16975.0,11.3,36.9,28.2,23.6,14677,12330,17024,15.1,12.7,17.5,4261,3341,5181,20.0,15.7,24.3,2872,2137,3607,18.2,13.6,22.8,49356,46646,52066
45,"Saratoga County, NY",118982.0,114795.0,4187.0,3.5,83210.0,123.0044,9508.0,39539.0,45544.0,66902.0,5.9,24.5,28.2,41.4,14319,11805,16833,6.3,5.2,7.4,3355,2548,4162,7.4,5.6,9.2,2049,1394,2704,6.1,4.2,8.0,83210,79497,86923
46,"Schenectady County, NY",76303.0,73240.0,3063.0,4.0,63297.0,93.5682,10381.0,31383.0,31616.0,33580.0,9.7,29.3,29.6,31.4,17062,14240,19884,11.3,9.4,13.2,5648,4226,7070,17.3,13.0,21.6,3695,2546,4844,15.5,10.7,20.3,63297,59381,67213
47,"Schoharie County, NY",14774.0,14062.0,712.0,4.8,57757.0,85.3787,2306.0,8205.0,6748.0,4951.0,10.4,36.9,30.4,22.3,3532,2863,4201,11.8,9.6,14.0,853,615,1091,16.1,11.6,20.6,549,369,729,13.6,9.1,18.1,57757,53683,61831
48,"Schuyler County, NY",8268.0,7845.0,423.0,5.1,50190.0,74.1929,1414.0,4824.0,4025.0,2937.0,10.7,36.5,30.5,22.3,2392,1907,2877,13.5,10.8,16.2,706,540,872,21.1,16.1,26.1,476,347,605,19.5,14.2,24.8,50190,45863,54517
49,"Seneca County, NY",16087.0,15465.0,622.0,3.9,54184.0,80.097,3612.0,8665.0,7345.0,5181.0,14.6,34.9,29.6,20.9,4000,3212,4788,12.6,10.1,15.1,1304,954,1654,19.9,14.6,25.2,889,614,1164,18.6,12.9,24.3,54184,50691,57677
50,"Steuben County, NY",42816.0,40710.0,2106.0,4.9,54862.0,81.0992,6811.0,25439.0,20090.0,15729.0,10.0,37.4,29.5,23.1,12069,10224,13914,12.8,10.8,14.8,3743,2893,4593,18.7,14.5,22.9,2536,1828,3244,17.2,12.4,22.0,54862,52231,57493
51,"Suffolk County, NY",777784.0,747832.0,29952.0,3.9,100075.0,147.9349,98607.0,287538.0,276327.0,366348.0,9.6,27.9,26.9,35.6,105578,95317,115839,7.3,6.6,8.0,28669,24262,33076,9.4,8.0,10.8,19507,16350,22664,8.5,7.1,9.9,100075,98571,101579
52,"Sullivan County, NY",35947.0,34475.0,1472.0,4.1,51985.0,76.8463,7344.0,17834.0,15609.0,12314.0,13.8,33.6,29.4,23.2,11834,9893,13775,16.2,13.5,18.9,3801,2888,4714,24.4,18.5,30.3,2625,1886,3364,23.3,16.7,29.9,51985,47707,56263
53,"Tioga County, NY",22772.0,21773.0,999.0,4.4,60309.0,89.1512,3192.0,12549.0,10149.0,8849.0,9.2,36.1,29.2,25.5,4912,3899,5925,10.2,8.1,12.3,1521,1103,1939,15.2,11.0,19.4,1038,714,1362,13.8,9.5,18.1,60309,57696,62922
54,"Tompkins County, NY",50112.0,48283.0,1829.0,3.6,57383.0,84.8259,3447.0,11592.0,13231.0,31512.0,5.8,19.4,22.1,52.7,15146,13354,16938,16.8,14.8,18.8,1982,1497,2467,13.7,10.4,17.0,1292,920,1664,12.2,8.7,15.7,57383,53182,61584
55,"Ulster County, NY",88712.0,85260.0,3452.0,3.9,63073.0,93.2371,12295.0,38655.0,37135.0,41847.0,9.5,29.8,28.6,32.2,24389,21477,27301,14.3,12.6,16.0,4993,3849,6137,16.2,12.5,19.9,3470,2588,4352,15.2,11.3,19.1,63073,59683,66463
56,"Warren County, NY",31709.0,30236.0,1473.0,4.6,56694.0,83.8074,3989.0,15212.0,14250.0,14339.0,8.3,31.8,29.8,30.0,6859,5688,8030,10.8,9.0,12.6,1787,1340,2234,15.5,11.6,19.4,1225,873,1577,14.2,10.1,18.3,56694,53834,59554
57,"Washington County, NY",28164.0,26999.0,1165.0,4.1,55913.0,82.6529,5519.0,17111.0,13058.0,9151.0,12.3,38.2,29.1,20.4,6637,5403,7871,11.4,9.3,13.5,1781,1305,2257,16.0,11.7,20.3,1258,883,1633,15.2,10.7,19.7,55913,51859,59967
58,"Wayne County, NY",43877.0,42054.0,1823.0,4.2,61118.0,90.3471,6738.0,22077.0,20784.0,14229.0,10.6,34.6,32.6,22.3,8511,6905,10117,9.6,7.8,11.4,2746,2060,3432,14.6,11.0,18.2,1812,1268,2356,13.0,9.1,16.9,61118,58284,63952
59,"Westchester County, NY",484256.0,465428.0,18828.0,3.9,94521.0,139.7248,81329.0,130268.0,133464.0,320897.0,12.2,19.6,20.0,48.2,78572,70284,86860,8.3,7.4,9.2,21291,17335,25247,10.3,8.4,12.2,13753,10870,16636,8.9,7.0,10.8,94521,91325,97717
60,"Wyoming County, NY",18093.0,17255.0,838.0,4.6,57709.0,85.3078,3022.0,11861.0,9440.0,4821.0,10.4,40.7,32.4,16.5,3627,2871,4383,9.9,7.8,12.0,911,652,1170,12.2,8.7,15.7,645,439,851,11.8,8.0,15.6,57709,53474,61944
61,"Yates County, NY",11783.0,11336.0,447.0,3.8,51089.0,75.5218,2287.0,5643.0,4616.0,4051.0,13.8,34.0,27.8,24.4,3014,2318,3710,12.7,9.8,15.6,1122,787,1457,21.1,14.8,27.4,760,504,1016,20.0,13.2,26.8,51089,46685,55493
